chain_id,validator_name,validator_address,current_weight
celestia,go,celestiavaloper1uvytvhunccudw8fzaxvsrumec53nawyj939gj9,954
celestia,finoaconsensusservices,celestiavaloper1e2p4u5vqwgum7pm9vhp0yjvl58gvhfc6yfatw4,935
celestia,chorusone,celestiavaloper15urq2dtp9qce4fyc85m6upwm9xul3049gwdz0x,806
celestia,p2porg,celestiavaloper1r4kqtye4dzacmrwnh6f057p50pdjm8g59tlhhg,643
celestia,cuck,celestiavaloper1jkuw8rxxrsgn9pq009987kzelkp46cgcaa7lhj,519
celestia,figment,celestiavaloper1xqc7w3pe38kg4tswjt7mnvks7gy4p38vtsuycj,344
celestia,p-opsteam,celestiavaloper1ac4mnwg79gyvd0x5trl2fgjv07lgfas02jf378,334
celestia,cosmostation,celestiavaloper1uqj5ul7jtpskk9ste9mfv6jvh0y3w34vtpz3gw,303
celestia,twinstake,celestiavaloper1mhux0vt6qszz8qwv8axggt02jjm7tuvdfhz78j,294
celestia,keplr,celestiavaloper1uwmf03ke52vld2sa9khs0nslpgzwsm5xs5e4pn,253
celestia,imperator,celestiavaloper1r5xt7twqmh39ky72f4txxjrhlt2z0qwwmdal8c,242
celestia,nodesguru,celestiavaloper1hm2d8e6nd5ngtlte3hlded03vgj3rer94vmdml,219
celestia,ai,celestiavaloper1v5hrqlv8dqgzvy0pwzqzg0gxy899rm4klzxm07,207
celestia,polkachu,celestiavaloper1jgqewpzn7dww5tlpnkypm72fm8tjznmw7ll7ls,195
celestia,binarybuilders,celestiavaloper15kpw453rgqrranltr8pcy9muryf3jjd7esw38j,193
celestia,galaxydigital,celestiavaloper1463wx5xkus5hyugyecvlhv9qpxklz62kyhwcts,184
celestia,upnode|0%fee,celestiavaloper133t4gpv4vhpqgfn9gr8l4u423zrglg8rkqeupr,182
celestia,qubelabs,celestiavaloper1j2jq259d3rrc24876gwxg0ksp0lhd8gy49k6st,180
celestia,stakingfacilities,celestiavaloper1wu24jxpn9j0580ehjz344d58cf3t7lzrrgqmnr,170
celestia,xprv,celestiavaloper1nwu3ugynh8m6r7aphv0uxnca84t7gnruvyye9c,166
celestia,hextechnologies,celestiavaloper1ftmw4wh8dq2ljw0xq3xgg00dl7l20se3lrml7q,165
celestia,01node,celestiavaloper1murrqgqahxevedty0nzqrn5hj434fvffxufxcl,165
celestia,iykyk,celestiavaloper1amxp3ah9anq4pmpnsknls7sql3kras9hs8pu0g,162
celestia,zkv,celestiavaloper187avawwq7qhanrkxf45mayztdqsr49hu8lezdh,144
celestia,nocturnallabs,celestiavaloper1zqjpfxtv3yp6kdlgra4hc9zehxgvpaw82hxr5w,138
celestia,nansen,celestiavaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvjeqh0m,105
celestia,stakecito,celestiavaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q5qhs58,98
celestia,validatus,celestiavaloper19v94c3z7ckarwsum76kaagma0wqsqhh5nl5zqg,98
celestia,mzonder,celestiavaloper1demcj83q7nxt6gtqxlu7qsmwqpt4jspj3alr92,87
celestia,blackblocks,celestiavaloper1knn88yl08ctsdrtxvfp39jywt7rph9ptv7532y,83
celestia,staked,celestiavaloper1pmn4cjwf26hkcpvyl322glhpdpcemcel8ca2vl,67
celestia,w3hitchhiker,celestiavaloper1zdrz4w2pwwffdvmpum0626vycel9caay9n3pll,52
celestia,nodestake,celestiavaloper19f0w9svr905fhefusyx4z8sf83j6et0g57nch8,50
celestia,lavenderfivenodes,celestiavaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zcvqd22,47
celestia,allnodes,celestiavaloper1rcm7tth05klgkqpucdhm5hexnk49dfda3l3hak,47
celestia,alphab,celestiavaloper1v987evnk7hsqct7smdqpxqprhvlcxgt43kyewc,46
celestia,latamnodes,celestiavaloper14v4ush42xewyeuuldf6jtdz0a7pxg5fwrlumwf,43
celestia,nodeguardians,celestiavaloper1m58punvt32u07ra4p6x7krgxakye3m90rzgm4c,41
celestia,enigma,celestiavaloper107lwx458gy345ag2afx9a7e2kkl7x49y3433gj,40
celestia,nakoturk,celestiavaloper1pnzrk7yzx0nr9xrcjyswj7ram4qxlrfz28xvn6,39
celestia,kjnodes,celestiavaloper17p8y0sm76zhrtjny98tknevafvlq9860ehykz3,39
celestia,easy2stake,celestiavaloper1un77nfm6axkhkupe8fk4xl6fd4adz3y59fucpu,35
celestia,forbole,celestiavaloper1593ns00rftlqp2gyu6wdmrqpgv5frv0hsf4sw2,33
celestia,kiln,celestiavaloper1djqecw6nn5tydxq0shan7srv8j65clsfmnxcfu,32
celestia,b-harvest,celestiavaloper14ntfv0qkg8522xe0pvrfgqxcmnj5x466v8z3tl,32
celestia,brightlystake,celestiavaloper19y52qzj4hxw0u68krfptkjlm77cvth8dgum7yu,31
celestia,stakin,celestiavaloper1dlsl4u42ycahzjfwc6td6upgsup9tt7cz8vqm4,30
celestia,everstake,celestiavaloper1eualhqh07w7p45g45hvrjagkcxsfnflzdw5jzg,29
celestia,frens,celestiavaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5wh8xeg4,28
celestia,stakelyio,celestiavaloper1yknsyf9ws4ugtv3r9g43kwqkne4zmrupcxhlth,27
