Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
✅ CryptoCrew Validators #IBCgang,comdexvaloper10d87jx68zygmwagu9ggzxpept07zs7nmcpyjr6,119290113358,8252660833373,8133370720015,5.00%,N,Y,,,Y,OK,5.29%,8.00%
Crosnest,comdexvaloper12dseyeqwsv3lkxlks45p4fp7et4qnzn5vkavjf,0,7820757346417,7820757346417,10.00%,N,Y,,,Y,OK,0.00%,8.00%
polkachu.com,comdexvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4p3447dz,109768704150,7602102541077,7492333836927,5.00%,N,Y,,,Y,OK,4.86%,8.00%
Witval,comdexvaloper10j3t6jxqjjnz4lkh3m2af7yxcf9773r4a8z8z3,0,7128499491026,7128499491026,5.00%,N,Y,,,Y,OK,0.00%,8.00%
Allnodes ⚡️ 0% fee,comdexvaloper1clsxq6wk4r4wsd0wjlqaa52p4t94r06lya7h5t,67355154034,6788853894834,6721498740800,0.00%,N,Y,,,Y,OK,2.99%,7.66%
AutoStake 🛡️ Slash Protected,comdexvaloper195re7mhwh9urewm3rvaj9r7vm6j63c4sd78njd,130318277722,6735144786971,6604826509249,0.00%,N,Y,,,Y,OK,5.78%,7.53%
Stakewolle.com |  Auto-compound,comdexvaloper15xevj3n6eq36t62sjjrsvf6hkuryg8w3pmpqy8,0,6138387360003,6138387360003,4.00%,N,Y,,,Y,OK,0.00%,7.00%
Lavender.Five Nodes 🐝,comdexvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zcpt5ph,0,5419213221078,5419213221078,10.00%,N,Y,,,Y,OK,0.00%,6.18%
Golden Ratio Staking,comdexvaloper18hrnuttvs8efncze46g7q2ujy4p4yude83kndl,67964267754,3105952736024,3037988468270,5.00%,N,Y,,,Y,OK,3.01%,3.46%
Architect Nodes,comdexvaloper1hvhyunq7qvykzvrcnhjj4xnkcla58xustdw75m,89924420308,3097890242539,3007965822231,5.00%,N,Y,,,Y,OK,3.99%,3.43%
POSITIVA Ultra,comdexvaloper1czs368jkxgwflufajtvr0lhg6660aeplz9s5qn,80563304181,2588356127957,2507792823776,7.00%,N,Y,,,Y,OK,3.57%,2.86%
StakeLab,comdexvaloper1gfe4f7urf866xte5cpmkgsw7q2u97qj06ldtj3,69342788279,2269623440581,2200280652302,5.00%,N,Y,,,Y,OK,3.07%,2.51%
Leonoor's Cryptoman,comdexvaloper1ccmys9wyh97khl5wve89wtuc35euylnuzfhp6w,69727491682,2248311690204,2178584198522,5.00%,N,Y,,,Y,OK,3.09%,2.48%
Autonomy ( Formerly PrithviDevs ),comdexvaloper1d25vszat2kf6n8vs7xz9t9avmmn3d6w86yfghm,57224631104,2098526165067,2041301533963,10.00%,N,Y,,,Y,OK,2.54%,2.33%
Validatrium-Inactive-Redelegate,comdexvaloper1wg8m5kkhrrszyvgqq2d5t9c4fd0cqqhy04tlud,0,2035535431391,2035535431391,10.00%,N,Y,,,Y,OK,0.00%,2.32%
