Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Disperze,evmosvaloper1sp9frqwep52chwavv3xd776myy8gyyvkv5uysl,1102962248636601750283972,22977346424957318716253200,2.18744E+25,5.00%,N,Y,,,Y,OK,9.35%,15.08%
Allnodes,evmosvaloper1c55g6u7q2uzgks9gjp80sle8n6qcyg64vk64g2,937224570317537923446087,14347314784411353166563959,1.34101E+25,5.00%,N,Y,,,Y,OK,7.94%,15.08%
Cosmostation,evmosvaloper1f35jtt5m68zlxkpxn75403vv82cchahqvfsrup,1103084474063090735407048,11235833229550022510294796,1.01327E+25,5.00%,N,N,,,N,inactive,9.35%,
OrbitalApes.com,evmosvaloper1mx9nqk5agvlsvt2yc8259nwztmxq7zjqep5khu,801065445208808496383105,7587870616227688701531092,6.78681E+24,5.00%,N,N,,,N,inactive,6.79%,
NodeStake,evmosvaloper1xaxg47uw046uw8vgpp3da367ctw9aguqjuyyyx,156692996758878927733160,4456237290283639938857570,4.29954E+24,5.00%,N,Y,,,Y,OK,1.33%,13.93%
polkachu.com,evmosvaloper125fkz3mq6qxxpkmphdl3ep92t0d3y969xmt8hz,529969449256239493487510,4669548472480659966934192,4.13958E+24,5.00%,N,Y,,,Y,OK,4.49%,13.41%
"Frens (🤝,🤝)",evmosvaloper14zatq4jagqtm9ejgvglnv0t364d88u80futp65,386721249411148929288394,4079211633391962142725474,3.69249E+24,5.00%,N,N,,,N,inactive,3.28%,
SG-1,evmosvaloper1dgepvcm7mqdqmzz9lng8kh88ykd298esn8qya5,470201215703125768322522,4079948532292775997638650,3.60975E+24,5.00%,N,Y,,,Y,OK,3.99%,11.69%
Please Redelegate,evmosvaloper1jk7umxyky5m5dul46t8nxneavlg7eysjr6lfj7,321941773371986814078898,3772975919805246560342265,3.45103E+24,10.00%,N,N,,,N,inactive,2.73%,
0base.vc,evmosvaloper1rh9uz23gmhr6q92a45qrath4fr9ffefz4eas0z,324264056475277531416597,3668597184724994451849073,3.34433E+24,5.00%,N,Y,,,Y,OK,2.75%,10.83%
"Shutting down, please redelegate",evmosvaloper1p5k54qk9jdamvw4r756g7dxsjarf6p0l3huk84,545858754699807559482293,3429021857010675514388104,2.88316E+24,5.00%,N,N,,,N,inactive,4.63%,
Cosmos Spaces,evmosvaloper17z0xyw6vwjn6gqj86s3axs7mjsngdl6sncdwga,0,2790315386451025481311776,2.79032E+24,5.00%,N,Y,,,Y,OK,0.00%,9.04%
DECOMMISSIONED,evmosvaloper1fqeezech7r9mr20aggde4a36qf4zy57r5qm0dm,361053909848462053450670,3044760295636890039859480,2.68371E+24,5.00%,N,N,,,N,inactive,3.06%,
Sunsetting - Please redelegate!,evmosvaloper1yujr2clwszfmt65myeq2lp6jnjv364hjjln5ua,371198620247047818662722,3007698941531010009437071,2.6365E+24,5.00%,N,N,,,N,inactive,3.15%,
alkadeta,evmosvaloper13h9qxch4r8ep2x8ynwlmcvcl6h902zg5elznhq,414588646650637537340783,2858521077934620185126146,2.44393E+24,5.00%,N,N,,,N,inactive,3.51%,
PLEASE REDELEGATE | Stakely.io,evmosvaloper19fxanpnjlggzuur3m3x0puk5ez7j9lrttexwsw,333553188888440400767393,2662089616841038943276631,2.32854E+24,5.00%,N,N,,,N,inactive,2.83%,
Jerry's Pool,evmosvaloper1lldjhjnn32e8vek7cxe9g05nf8j74y0xs5zmsu,0,1696670175217446788206123,1.69667E+24,5.00%,N,Y,,,Y,OK,0.00%,5.50%
[Beehive],evmosvaloper1nfx47fqnqpcarqwt7qn4fk0llc57vvh3wgg35c,0,1679089900457523514893464,1.67909E+24,5.00%,N,Y,,,Y,OK,0.00%,5.44%
Provalidator,evmosvaloper1tdss4m3x7jy9mlepm2dwy8820l7uv6m2vx6z88,438055928536522680963845,1850937684983537319151393,1.41288E+24,5.00%,N,N,,,N,inactive,3.71%,
MZONDER,evmosvaloper1zk0sx2e677293wfmhxngpexu50vps3sdwyef92,0,1306968719821424106831986,1.30697E+24,5.00%,N,N,,,N,inactive,0.00%,
Trust Nodes,evmosvaloper1k875gxzhegt59na74z5a8ejhen2thhvejk4r2e,0,1296089514517245436789960,1.29609E+24,10.00%,N,N,,,N,inactive,0.00%,
DragonStake 🐲,evmosvaloper10qpycc2egucukw8afcz4us7xlxxmfwh6rscvjz,169893342819689321021134,1348002107171328607543689,1.17811E+24,5.00%,N,N,,,N,inactive,1.44%,
Shutdown in July | Please redelegate | Meria,evmosvaloper1hn8u6x03mklzdy69r9khsd9q4yft7gmrkz8qkj,396254832677289768885265,1474178860260305100190785,1.07792E+24,5.00%,N,N,,,N,inactive,3.36%,
Shutting down 30th Nov- Please redelegate.,evmosvaloper1vw76ju5rwt9us7kz8tg42t6yfmq2jftydu74u6,521413669402010534874935,1564992157744058929055285,1.04358E+24,5.00%,N,N,,,N,inactive,4.42%,
SHUTTING DOWN - REDELEGATE,evmosvaloper1umk407eed7af6anvut6llg2zevnf0dn0feqqny,457856447627738270895805,1475287002344976311794895,1.01743E+24,5.00%,N,N,,,N,inactive,3.88%,
Shutdown - please redelegate,evmosvaloper174jlcery04j6r7wgvequeysruyjlhtcmlhnhy2,356653794494858589021346,1357666148206321125145830,1.00101E+24,5.00%,N,N,,,N,inactive,3.02%,
Oni ⛩️,evmosvaloper1hyytyjxr02j72cx0cgjl24s3nn2yrdqqaslk84,912901710446229883961766,1776721939365681369263944,8.6382E+23,5.00%,N,N,,,N,inactive,7.74%,
Validatrium.com,evmosvaloper1fn9ldnvd5mt2fcn5prq2lhvcga6tmtlhugv8x3,0,838961960496162265649145,8.38962E+23,5.00%,N,N,,,N,inactive,0.00%,
Please Redelegate,evmosvaloper1psf28krr9muve6w0qzgjlrju5mamlsac96l85q,0,824053671865583412106922,8.24054E+23,5.00%,N,N,,,N,inactive,0.00%,
Hanchon.live,evmosvaloper1dgpv4leszpeg2jusx2xgyfnhdzghf3rf0qq22v,122225426488985123036,809372057516259613785637,8.0925E+23,5.00%,N,N,,,N,inactive,0.00%,
TC Network,evmosvaloper1yw3uzauqx3lywnttftjr728e3j6e9ptfk7h406,0,760349217024848844218464,7.60349E+23,5.00%,N,N,,,N,inactive,0.00%,
AutoStake 🛡️ Slash Protected,evmosvaloper1shvcjzhcxau6qtlz9w82a646ecwp4hq7ayqt0w,0,743541366937368247594355,7.43541E+23,5.00%,N,N,,,N,inactive,0.00%,
Alphabet,evmosvaloper133p2ksvmtlnj3e30ekrdkqgj25eaahncuj27wm,0,738510526983466848196805,7.38511E+23,5.00%,N,N,,,N,inactive,0.00%,
Redelegate please,evmosvaloper147hzfg34xumd2aplfhx39hweqsem8v0zxqtehx,0,718250975076128412722593,7.18251E+23,5.00%,N,N,,,N,inactive,0.00%,
Stakin | Discontinued,evmosvaloper1sq9ggymzx02vcp7kf6yyar83scfm4r22swu673,0,716267846184727232569243,7.16268E+23,10.00%,N,N,,,N,inactive,0.00%,
Encapsulate (fka KingSuper),evmosvaloper1s5sckwx0h02xw7qkdyu6auj8vq0a5gcr2u98kc,0,714145305797464269771140,7.14145E+23,10.00%,N,N,,,N,inactive,0.00%,
Qubelabs,evmosvaloper1f08fffp8zz42jj0f6wh3gyu7he4hf6zzs6mn8j,0,688388731682767790262696,6.88389E+23,5.00%,N,N,,,N,inactive,0.00%,
Nodes.Guru - PLEASE REDELEGATE,evmosvaloper1vw7k3z99swlv7svjmnrrqvu6zdmatqhvzuz7lu,0,663747940158260786197171,6.63748E+23,5.00%,N,N,,,N,inactive,0.00%,
binary_holdings,evmosvaloper1vhuyfr9l7ytd0w9mtdx2033qrc0s6vjj8w37j6,122225426488985123036,629775768869323582056500,6.29654E+23,5.00%,N,N,,,N,inactive,0.00%,
sleepykitten loves you <3 - Re-delegate,evmosvaloper1lwfuc2lc27mk8yys2zcd0qttcwmnd6x7gks5m5,0,626964699277562456236213,6.26965E+23,5.00%,N,N,,,N,inactive,0.00%,
Lavender.Five Nodes 🐝,evmosvaloper155yk4wfn0xqye80exlsr6hu4qdfsvsgw63w87l,0,595704375905270765644829,5.95704E+23,5.00%,N,N,,,N,inactive,0.00%,
Interop (shutting down Sep. 23th),evmosvaloper1wvgslxyxtg798cwsjj9epjcxxj8xqhj4a4pfzq,0,581047581919939258261286,5.81048E+23,10.00%,N,N,,,N,inactive,0.00%,
Kalia Network,evmosvaloper1492mycgzlzw2htuwqdny0r55s5t0zype4m9pzl,0,525455870955178457699938,5.25456E+23,9.00%,N,N,,,N,inactive,0.00%,
"evmosius (⚛️,⚛️)",evmosvaloper1qp49y6vh8vvv5yf8ule8fwx6sss82ncz39tunl,0,485797430430255923005976,4.85797E+23,5.00%,N,N,,,N,inactive,0.00%,
AM Solutions 🪐,evmosvaloper1qx7u07f2tv5j8677r3ttt97prkc2dgcyp2km24,0,472461652133273604647355,4.72462E+23,5.00%,N,N,,,N,inactive,0.00%,
please redelegate,evmosvaloper1qmpmzdesg9gr5wpyzkssayldnhk3pa8x2nwlwp,0,424603239395110050944380,4.24603E+23,5.00%,N,N,,,N,inactive,0.00%,
Regenerator | Green Validator 🌱,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,0,404589202241548091640344,4.04589E+23,5.00%,N,N,,,N,inactive,0.00%,
Antrix Validators,evmosvaloper1q0e82hv8glx8nfqnwu4pyk8gdps0zezhp3verj,0,400286348174655162964312,4.00286E+23,5.00%,N,N,,,N,inactive,0.00%,
BitNordic,evmosvaloper1tjm6jya5wh65ha55c6279glcsa3mcs9srscytj,0,376451821219531174085748,3.76452E+23,5.00%,N,N,,,N,inactive,0.00%,
Chandra Station,evmosvaloper18zt355ccyxd3kj23mz5hdz00qqn5lk5kjnj74m,0,374666569561789714700906,3.74667E+23,5.00%,N,N,,,N,inactive,0.00%,
