Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
The_Cybernetics,junovaloper1yfx5x9cs3nvncprlw0kuw2cgs9qq38uqnwfhd8,0,4350603228299,4350603228299,5.00%,N,Y,,,N,top_N_stake,0.00%,
Cosmostation,junovaloper1t8ehvswxjfn3ejzkjtntcyrqwvmvuknzmvtaaa,4491319,2843522522860,2843518031541,5.00%,N,N,,,N,inactive,0.00%,
Kintsugi Nodes,junovaloper1juczud9nep06t0khghvm643hf9usw45r23gsmr,115034224376,2282698761830,2167664537454,10.00%,N,Y,,,N,top_N_stake,3.71%,
DAO DAO,junovaloper185hgkqs8q8ysnc8cvkgd8j2knnq2m0ah6ae73gntv9ampgwpmrxqlfzywn,0,2154809596724,2154809596724,5.00%,N,Y,,,N,top_N_stake,0.00%,
SG-1,junovaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcqcnylw,4491319,1974997583517,1974993092198,5.00%,N,Y,,,N,top_N_stake,0.00%,
Stakecito,junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse,125881001349,1780398516431,1654517515082,5.00%,N,Y,,,N,top_N_stake,4.06%,
AutoStake 🛡️ Slash Protected,junovaloper15yuuev6n8sfvvkqx2m4rqvrnu8vyuzvmkku3fm,0,1310268644081,1310268644081,5.00%,N,Y,,,N,top_N_stake,0.00%,
Neta DAO,junovaloper1f2jpv5sc6ur6yurq5w0t2chphrznpy8lfvj9vs,0,1125085484614,1125085484614,5.00%,N,N,,,N,inactive,0.00%,
POSTHUMAN 🧬 StakeDrop,junovaloper1e8238v24qccht9mqc2w0r4luq462yxttjzn7qt,83190063396,1186859696843,1103669633447,5.00%,N,Y,,,N,top_N_stake,2.68%,
BlueStake 🚀 | 100% insurance,junovaloper1z3svprqzmquw6mckh6rgyt0dmd4yhv7c6l58qc,0,1089758956569,1089758956569,5.00%,N,Y,,,N,top_N_stake,0.00%,
