Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Cosmostation,osmovaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep88n0y4,930411414313,19715444229975,18785032815662,5.00%,N,Y,1,10/10,N,top_N_stake,7.07%,
Inotel,osmovaloper1z89utvygweg5l56fsk8ak7t6hh88fd0axx2fya,458524459711,12811437060185,12352912600474,5.00%,N,Y,0.996,0/10,N,"top_N_stake, gov<5/10 (fraction=0.000)",3.48%,
Keplr,osmovaloper130r77dtdgz3yjyyskhrr3j2c90aqezugkhr3rs,118608047861,11108621731231,10990013683370,5.00%,N,Y,0.999,10/10,N,top_N_stake,0.90%,
Nansen | Stake to Stack Points,osmovaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv5qgdz9,46832362245,8618399206441,8571566844196,5.00%,N,Y,0.997,8/10,N,top_N_stake,0.36%,
The_Cybernetics,osmovaloper10w06wvmdd4xn7hr76gzrv570f7q5uweem5jcd7,143169585670,8577770857380,8434601271710,5.00%,N,Y,1,6/10,N,top_N_stake,1.09%,
Mendel,osmovaloper1e20nfplac6cp5mga25a3ujvcgly3mfu73e6scn,294992977409,7478906691189,7183913713780,5.00%,N,Y,0.999,4/10,N,"top_N_stake, gov<5/10 (fraction=0.400)",2.24%,
Stakecito,osmovaloper12rzd5qr2wmpseypvkjl0spusts0eruw2g35lkn,276540008589,6479992148458,6203452139869,5.00%,N,Y,0.999,10/10,N,top_N_stake,2.10%,
ECO Stake 🌱 | REStake.app,osmovaloper1u5v0m74mql5nzfx2yh43s2tke4mvzghr6m2n5t,136042921850,5817248525829,5681205603979,5.00%,N,Y,1,10/10,N,top_N_stake,1.03%,
CryptoCrew Validators ✅,osmovaloper1h2c47vd943scjlfum6yc5frvu2l279lwjep5d6,386494250385,5843438376316,5456944125931,5.00%,N,Y,0.998,10/10,N,top_N_stake,2.94%,
polkachu.com,osmovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4phpkatp,222708244377,5460202056004,5237493811627,5.00%,N,Y,0.953,10/10,N,top_N_stake,1.69%,
Ledger by Figment,osmovaloper17cp6fxccqxrpj4zc00w2c7u6y0umc2jajsyc5t,223217291793,5406369696395,5183152404602,5.00%,N,Y,0.999,0/10,N,"top_N_stake, gov<5/10 (fraction=0.000)",1.70%,
Binary Builders,osmovaloper15czt5nhlnvayqq37xun9s9yus0d6y26d5jws45,297792738195,5363292598826,5065499860631,5.00%,N,Y,0.998,2/10,N,"top_N_stake, gov<5/10 (fraction=0.200)",2.26%,
Interop,osmovaloper146mj09yzu3mvz7pmy4dvs4z9wr2mst7rq8p8gy,69230448537,4876672770510,4807442321973,8.00%,N,Y,0.996,9/10,Y,OK,0.53%,7.98%
PRYZM | StakeDrop,osmovaloper14n8pf9uxhuyxqnqryvjdr8g68na98wn5amq3e5,515410508417,5315873178274,4800462669857,20.00%,N,Y,0.998,0/10,N,"commission>10%, gov<5/10 (fraction=0.000)",3.92%,
Chorus One,osmovaloper15urq2dtp9qce4fyc85m6upwm9xul3049wh9czc,637963673753,5226731207503,4588767533750,5.00%,N,Y,1,2/10,N,gov<5/10 (fraction=0.200),4.85%,
Figment,osmovaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpf6t4agt,262159419096,4754046486317,4491887067221,5.00%,N,Y,0.999,0/10,N,gov<5/10 (fraction=0.000),1.99%,
Crosnest,osmovaloper1u6jr0pztvsjpvx77rfzmtw49xwzu9kas05lk04,115299239660,4430009643032,4314710403372,5.00%,N,Y,1,7/10,Y,OK,0.88%,7.16%
Citadel.one,osmovaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxwmj9we,115299239660,4220973038779,4105673799119,5.00%,N,Y,1,1/10,N,gov<5/10 (fraction=0.100),0.88%,
Mad Scientists,osmovaloper1xvl4vrlh3epl7desfnqydt4tvexl380ue86syc,70503067076,4099949197887,4029446130811,5.00%,N,Y,0.997,0/10,N,gov<5/10 (fraction=0.000),0.54%,
Lavender.Five Nodes 🐝,osmovaloper1glmy88g0uf6vmw29pyxu3yq0pxpjqtzqr5e57n,176257667691,4074749534727,3898491867036,5.00%,N,Y,0.999,10/10,Y,OK,1.34%,6.47%
Allnodes,osmovaloper1e9ucjn5fjmetky5wezzcsccp7hqcwzrrdulz7n,196746826175,4074267471794,3877520645619,5.00%,N,Y,0.997,0/10,N,gov<5/10 (fraction=0.000),1.50%,
Informal Systems,osmovaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5s833swz,252996565612,4060632695742,3807636130130,5.00%,N,Y,0.996,0/10,N,gov<5/10 (fraction=0.000),1.92%,
DSRV,osmovaloper1wlagucxdxvsmvj6330864x8q3vxz4x025rraa6,110336027357,3799651174980,3689315147623,10.00%,N,Y,1,10/10,Y,OK,0.84%,6.12%
Smart Stake 📈📊,osmovaloper1l7hln0l79erqaw6jdfdwx0hkfmj3dp27gr77ja,76484374210,3667448729007,3590964354797,5.00%,N,Y,1,10/10,Y,OK,0.58%,5.96%
Sentinel dVPN,osmovaloper1cyw4vw20el8e7ez8080md0r8psg25n0cq98a9n,129043519884,3570455135896,3441411616012,5.00%,N,Y,0.987,0/10,N,gov<5/10 (fraction=0.000),0.98%,
OmniFlix Network,osmovaloper12zwq8pcmmgwsl95rueqsf65avfg5zcj047ucw6,205527894097,3534124442217,3328596548120,5.00%,N,Y,0.997,0/10,N,gov<5/10 (fraction=0.000),1.56%,
Golden Ratio Staking,osmovaloper16n0t7lmy4wnhjytzkncjdkxrsu9yfjm3ex7hxr,98755198648,3368909131779,3270153933131,5.00%,N,Y,1,0/10,N,gov<5/10 (fraction=0.000),0.75%,
PRO Delegators,osmovaloper1r7spsjagrmcfv96w5dxtttajvnxczhcpgfk74g,76484374210,3216961856844,3140477482634,5.00%,N,Y,0.999,8/10,Y,OK,0.58%,5.21%
Imperator.co,osmovaloper1t8qckan2yrygq7kl9apwhzfalwzgc2429p8f0s,115171977806,3197423157560,3082251179754,5.00%,N,Y,1,10/10,Y,OK,0.88%,5.12%
Cosmos Spaces ☮️💜⚛️,osmovaloper1t48236ajss9wswamwll4nj7up2gqdns52gvyaa,82211157637,3099652176306,3017441018669,5.00%,N,Y,1,10/10,Y,OK,0.62%,5.01%
