Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Sommelier Foundation,sommvaloper1rtt69afx4dtj4t3urgm93qq7kxypzzeew4w8t0,0,47882548140419,47882548140419,0.00%,N,Y,,,Y,OK,0.00%,10.38%
Seven Seas,sommvaloper10nmpa8lqzd37eclk9a54d2utcvrw3evcuvu3cs,79633818159,16050784051503,15971150233344,3.00%,N,Y,,,Y,OK,5.17%,10.38%
Defi Geek,sommvaloper1delagkfwss0x8vjrzwqtws4kj47jgteen0vrup,0,12503492142856,12503492142856,5.00%,N,Y,,,Y,OK,0.00%,10.38%
AutoStake 🛡️ Slash Protected,sommvaloper1tl6jl7ecqwvgagsc4w46n9nm470cwjyg24hlw3,21895550739,11843367975623,11821472424884,0.00%,N,N,,,N,inactive,1.42%,
polkachu.com,sommvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pu0vlu3,202158920709,10234552100794,10032393180085,4.00%,N,Y,,,Y,OK,13.13%,10.38%
Shutdown in July | Please redelegate | Meria,sommvaloper1uw309hv7khuxud7rrnj89fvxvgl9heu5zvs3sl,17696404020,6077363612138,6059667208118,5.00%,N,N,,,N,inactive,1.15%,
"Frens (🤝,🤝)",sommvaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w6s5pjm,6898598163,5421836168085,5414937569922,5.00%,N,N,,,N,inactive,0.45%,
Sunsetting - please redelegate,sommvaloper15urq2dtp9qce4fyc85m6upwm9xul30499el64g,532391817099,5928057092495,5395665275396,7.50%,N,N,,,N,inactive,34.59%,
don't stake,sommvaloper1y0few0kgxa7vtq8nskjsdwdtyqglj3k5pv2c4d,81733391518,4725878255865,4644144864347,10.00%,N,N,,,N,inactive,5.31%,
Cosmostation,sommvaloper16zlu8yrmccwssv7tywc74jsh6nen4t5ur5ef67,40041863354,4393149603651,4353107740297,5.00%,N,N,,,N,inactive,2.60%,
Sunsetting - Please redelegate!,sommvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7qeh9gwf,41391589086,3429898768538,3388507179452,5.00%,N,N,,,N,inactive,2.69%,
BlockHunters 🎯,sommvaloper1m9n4keerxus8yw3mjqvekxlywn8sq9aguh39c6,45140827232,3396317190238,3351176363006,7.77%,N,Y,,,Y,OK,2.93%,10.38%
Standard Crypto,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,49639913007,2962207525149,2912567612142,10.00%,N,N,,,N,inactive,3.22%,
