Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Cosmostation,starsvaloper1ulvgmlttxhrnmegu57sj0n2qc7xvtrn9245jtu,1688024158973,74381747188849,72693723029876,5.00%,N,Y,,,N,top_N_stake,5.38%,
polkachu.com,starsvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4p60w86a,974568002652,68261416584052,67286848581400,5.00%,N,Y,,,N,top_N_stake,3.10%,
Stakecito,starsvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7qlh8sg9,1011067508517,52556607758117,51545540249600,5.00%,N,Y,,,N,top_N_stake,3.22%,
Allnodes,starsvaloper1vaq0mrf3vfs5pap7hhfs7lgfl4e2plum77halc,408357719408,37574599048963,37166241329555,5.00%,N,Y,,,N,top_N_stake,1.30%,
StarsCow,starsvaloper132az2gvnq20e4xvmu0pq3l88xa9qajsh4mwdcx,0,28446367025257,28446367025257,5.00%,N,Y,,,N,top_N_stake,0.00%,
GATA HUB,starsvaloper1pn9m649n2ugeyw4a7lj4vdtm76f7ptlp0sqxhz,200279339834,27061277648527,26860998308693,5.00%,N,Y,,,N,top_N_stake,0.64%,
POSTHUMAN 🧬 StakeDrop,starsvaloper14ftwwcfvhnp3qvxawesjan5duh8rmrkrzdvquy,270158735670,24095007011686,23824848276016,5.00%,N,Y,,,N,top_N_stake,0.86%,
Bad Kids | 100% Slashing,starsvaloper1gz645mefvu5emd0llpfjchqqpyuxt0xxq34per,624235138692,23762061160034,23137826021342,5.00%,N,Y,,,N,top_N_stake,1.99%,
alkadeta,starsvaloper1wz3692qvg6g3kcnnyta40rn2jj5jfhxqzntq0s,516296429052,21967450285785,21451153856733,5.00%,N,Y,,,Y,OK,1.64%,4.93%
🦊 The Silver Fox,starsvaloper1qy8vu3r6gcm3ydjglh427p8p036ya798hev2s8,227419998035,21608224662398,21380804664363,5.00%,N,Y,,,Y,OK,0.72%,4.92%
Chorus One,starsvaloper16pj5gljqnqs0ajxakccfjhu05yczp987esm6lu,1426288382896,22461142211664,21034853828768,10.00%,N,Y,,,Y,OK,4.54%,4.84%
"Frens (🤝,🤝)",starsvaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5wuske5h,55217201150,19597607668723,19542390467573,5.00%,N,Y,,,Y,OK,0.18%,4.49%
Kahuna,starsvaloper17r0cp9zrtkvzlz7a2r09gmdxwqfyje9898petq,503506003921,20001518915594,19498012911673,5.00%,N,Y,,,Y,OK,1.60%,4.48%
Larry Engineer,starsvaloper1jlhu56rs6st0vyaneleg2lp0seqknw5j2fkpr4,548116511084,19202056150358,18653939639274,5.00%,N,Y,,,Y,OK,1.75%,4.29%
StakeLab.zone,starsvaloper1mz2qks48v486d9m8wp4l9fxm2e9l0e0kzk79m5,1127741142638,19393679336487,18265938193849,5.00%,N,Y,,,Y,OK,3.59%,4.20%
Keplr,starsvaloper16s77uvzu5c5wvnhepx4m69z8xft9pd68t4973p,347525209633,18375686289029,18028161079396,10.00%,N,Y,,,Y,OK,1.11%,4.15%
Imperator.co,starsvaloper1y3cxrze7kmktj93atd42g9rffyg823g0qjqelc,409293604171,17737043719574,17327750115403,5.00%,N,Y,,,Y,OK,1.30%,3.98%
