chain_id,validator_name,validator_address
celestia,croutondigital,celestiavaloper1nxdm2vdl9xmmekauu3yfhq49t6vqc5cph2dj3s
celestia,ecadinfra,celestiavaloper1m7xh6ms0cxhguzgfjnagx4nrzem8hf68qzdf7f
celestia,chiterincosmos,celestiavaloper1ga4wavedkz3xrmhhtxgzxdrtysfpawnsksdx9y
cosmoshub-4,chiterincosmos,cosmosvaloper140kq2fts8ed9m73a6dch7sgdap6hnp2p95f92k
dydx-mainnet-1,ledgerbymeria,dydxvaloper1gffkd68xcnfpzcsplf0fsuetxkysunud6a900w
dydx-mainnet-1,dragonstake,dydxvaloper1he9yn4jhuq50vtf95ncv9rvplnqug8w9yw8dwc
dydx-mainnet-1,luganodes,dydxvaloper1fs0t34g628xdqc8alfefnadq2x3qawt8g88mav
haqq_11235-1,01node,haqqvaloper1dr24vnl8veae8998c78vth6qrrmtnhle49vjqg
haqq_11235-1,digiser2,haqqvaloper1nekpsmetpxx2crsuzznuy4epv9eqvj03rtmxae
haqq_11235-1,2pilot,haqqvaloper1c5clg5vjnlmjn47yrs0uwhvsx8v3vvf7ygef74
haqq_11235-1,alxvoyanodeteam,haqqvaloper1wgm35c4nzs6ssgktd0zj4pefdr3h8ms5252mqc
injective-1,falconx,injvaloper1da0shwz2mcup5rxkykquc9a7mh4s2hkeah9wuc
injective-1,innovatingcapital,injvaloper1rqqpyuka5dxulzjslnzjld2ltcw5095rr0jz07
injective-1,nansen,injvaloper1nm48eujr28u3htqrjumfwhytn63rmca2prtklt
injective-1,hextrust2,injvaloper16jkt2gcm8qfxzjj8j6pvyc045ga82pmthz58mp
injective-1,twinstake2,injvaloper1zt0x89kt3jhflyt69l4cpwcxhtgjaxteyhdgdv
injective-1,bitgobytwinstake2,injvaloper1ae4f9ae2d94kwhn6xlshm34f9fl0p0rkwy9wj5
injective-1,mipool,injvaloper1f68rd44mhx5lu9nz4lkq9wjeucj0gcja66sy8l
juno-1,thecybernetics,junovaloper1yfx5x9cs3nvncprlw0kuw2cgs9qq38uqnwfhd8
juno-1,daodao,junovaloper185hgkqs8q8ysnc8cvkgd8j2knnq2m0ah6ae73gntv9ampgwpmrxqlfzywn
juno-1,bluestake,junovaloper1z3svprqzmquw6mckh6rgyt0dmd4yhv7c6l58qc
juno-1,autostake,junovaloper15yuuev6n8sfvvkqx2m4rqvrnu8vyuzvmkku3fm
laozi-mainnet,stakingcabin,bandvaloper15ak2q82ddzhxfdgcah34sfxjr7gqchmm4qssqc
laozi-mainnet,hub,bandvaloper147k9e3ssy8yh2xjqmgjc8pnvwgzrl4g2fj306s
laozi-mainnet,contributiondao,bandvaloper1qcncyz7lk6am048zhuyh2vv47ymf929lpdfd7d
laozi-mainnet,tttvn,bandvaloper1h9a8wasp8zvj8h06mp7tlm0eetgacafkyfqapc
laozi-mainnet,nodesguru,bandvaloper1ppycvs7hfnw37aghc9mc58zy9al793sr4mwxjg
osmosis-1,bitszn,osmovaloper18kxyn3dpmwnmctzkgckfcgp7a4nzss0lq2qpk9
osmosis-1,xilodyne,osmovaloper1rtlg9jnlezwg83eep5zu25sfxndgud5aeqjld4
osmosis-1,haannode,osmovaloper1hqqzynrdqxzky82mw92ugwsrry0ntrse84g5nr
phoenix-1,burritonode,terravaloper16x9dcx9pm9j8ykl0td4hptwule706ysjel6500
phoenix-1,solva,terravaloper199fjq4rnfvz24cktl8cervx8h8e90rukmgdv5x
phoenix-1,imperatorco,terravaloper1u53qwdgafryksqnzq3k7e5eyph7jlh8kgc3va4
ssc-1,solva,sagavaloper13pcp0cstupahzz3n36x0dlhpa9fr8m9vlcy78y
