Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Anchorage Digital,celestiavaloper1llfydg9q5fnfuc0lfrwwqnvpywnw97lmvek8jf,0,56420100364268,56420100364268,20.00%,N,Y,0.92,0/3,N,"top_N_stake, uptime<95% (u=0.920), gov<2/5 (fraction=0.000)",0.00%,
P-OPS Team,celestiavaloper1ac4mnwg79gyvd0x5trl2fgjv07lgfas02jf378,0,22890909355113,22890909355113,20.00%,N,Y,0.981,7/7,N,top_N_stake,0.00%,
BinanceNode,celestiavaloper1mpt4chntuewyktq64fgrszjp6ly7we5a3t4a8l,0,21749063612404,21749063612404,20.00%,Y,Y,0.993,0/7,N,"CEX, top_N_stake, gov<2/5 (fraction=0.000)",0.00%,
Qubelabs,celestiavaloper1j2jq259d3rrc24876gwxg0ksp0lhd8gy49k6st,0,21748146501035,21748146501035,20.00%,N,Y,0.996,7/7,N,top_N_stake,0.00%,
P2P.org 💙,celestiavaloper1r4kqtye4dzacmrwnh6f057p50pdjm8g59tlhhg,0,18498672027154,18498672027154,20.00%,N,Y,0.994,7/7,N,top_N_stake,0.00%,
bitcoinsuisse.com,celestiavaloper1emku8jrvf9dzu80n3sx7wx50chpgjhrws9x62u,0,16736024404325,16736024404325,100.00%,Y,Y,0.974,0/7,N,"CEX, commission>20%, top_N_stake, gov<2/5 (fraction=0.000)",0.00%,
Hex Trust,celestiavaloper1ftmw4wh8dq2ljw0xq3xgg00dl7l20se3lrml7q,0,16400584615784,16400584615784,20.00%,N,Y,0.739,0/7,N,"top_N_stake, uptime<95% (u=0.739), gov<2/5 (fraction=0.000)",0.00%,
Kraken,celestiavaloper1pmn4cjwf26hkcpvyl322glhpdpcemcel8ca2vl,0,13304745051277,13304745051277,20.00%,Y,Y,0.983,0/7,N,"CEX, top_N_stake, gov<2/5 (fraction=0.000)",0.00%,
Bitwise Onchain Solutions,celestiavaloper15urq2dtp9qce4fyc85m6upwm9xul3049gwdz0x,20513439890,12268068464549,12247555024659,20.00%,N,Y,0.992,4/7,N,top_N_stake,3.66%,
itrocket,celestiavaloper1gl0rg3g0pkcpr8umj2hvlhha06ecjd65yt96z5,0,9954759835280,9954759835280,20.00%,N,Y,0.867,7/7,N,"top_N_stake, uptime<95% (u=0.867)",0.00%,
Coinbase,celestiavaloper1geuw5f6u3n5l4ne2d2nze3fehxf023f7s8h08t,0,9538703297008,9538703297008,20.00%,Y,Y,0.955,0/7,N,"CEX, top_N_stake, gov<2/5 (fraction=0.000)",0.00%,
Cosmostation,celestiavaloper1uqj5ul7jtpskk9ste9mfv6jvh0y3w34vtpz3gw,0,9356654725608,9356654725608,20.00%,N,Y,0.938,7/7,N,"top_N_stake, name_excluded (cosmostation), uptime<95% (u=0.938)",0.00%,
Nodes.Guru,celestiavaloper1hm2d8e6nd5ngtlte3hlded03vgj3rer94vmdml,0,8720468386377,8720468386377,20.00%,N,Y,0.897,6/7,N,uptime<95% (u=0.897),0.00%,
Kairos Research X Firstset,celestiavaloper17vrdfe4mfwzd3mfkf3nvj5lx2m9vqtlz82hrma,0,8531347537260,8531347537260,20.00%,N,Y,0.787,3/3,N,uptime<95% (u=0.787),0.00%,
Keplr,celestiavaloper1uwmf03ke52vld2sa9khs0nslpgzwsm5xs5e4pn,0,8133279341173,8133279341173,20.00%,N,Y,0.982,7/7,Y,force_included (PoA partner),0.00%,9.17%
Staking Facilities,celestiavaloper1wu24jxpn9j0580ehjz344d58cf3t7lzrrgqmnr,45622788574,8013721411951,7968098623377,20.00%,N,Y,0.976,4/7,Y,OK,8.14%,8.99%
Validatus,celestiavaloper19v94c3z7ckarwsum76kaagma0wqsqhh5nl5zqg,0,7835837337534,7835837337534,20.00%,N,Y,0.973,7/7,Y,OK,0.00%,8.84%
Figment,celestiavaloper1xqc7w3pe38kg4tswjt7mnvks7gy4p38vtsuycj,0,7674742158724,7674742158724,20.00%,N,Y,0.888,0/7,N,"uptime<95% (u=0.888), gov<2/5 (fraction=0.000)",0.00%,
kjnodes.com 🦄,celestiavaloper17p8y0sm76zhrtjny98tknevafvlq9860ehykz3,0,7600112913258,7600112913258,20.00%,N,Y,0.885,3/7,N,uptime<95% (u=0.885),0.00%,
Binary Builders,celestiavaloper15kpw453rgqrranltr8pcy9muryf3jjd7esw38j,43380881142,7154047034378,7110666153236,20.00%,N,Y,0.968,4/7,Y,OK,7.74%,8.02%
Kiln,celestiavaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqa02qlj,37159591975,6140490203547,6103330611572,20.00%,N,Y,0.779,3/3,N,uptime<95% (u=0.779),6.63%,
T DATA,celestiavaloper1fyw0qppar97easavw07n876ktv0a4vpptawt09,0,6049812879515,6049812879515,20.00%,N,Y,0.994,0/7,N,gov<2/5 (fraction=0.000),0.00%,
IYKYK,celestiavaloper1amxp3ah9anq4pmpnsknls7sql3kras9hs8pu0g,38448687932,5958585117181,5920136429249,20.00%,N,Y,0.978,3/7,Y,OK,6.86%,6.68%
Imperator.co,celestiavaloper1r5xt7twqmh39ky72f4txxjrhlt2z0qwwmdal8c,14011912479,5649962028034,5635950115555,20.00%,N,Y,0.812,7/7,Y,force_included (PoA partner),2.50%,6.36%
Upnode,celestiavaloper133t4gpv4vhpqgfn9gr8l4u423zrglg8rkqeupr,31162493415,5527975614507,5496813121092,20.00%,N,Y,0.993,7/7,Y,OK,5.56%,6.20%
ChainSafe,celestiavaloper1auqmdc2pnx5gxvakjdsc9v9zc4y2ga0hcaxg9x,4988240813,5491345570084,5486357329271,20.00%,N,Y,0.927,3/7,N,uptime<95% (u=0.927),0.89%,
Krews,celestiavaloper1hr86d4aprfmds5lsk6trq5xykawr4uymvnvxzg,0,5341408295769,5341408295769,25.00%,N,Y,0.985,2/2,N,commission>20%,0.00%,
senggigi,celestiavaloper135w0ugccxxjjz6n4wn2mw2qzreevu67x6u70cd,0,5123001422873,5123001422873,20.00%,N,Y,0.899,0/7,N,"uptime<95% (u=0.899), gov<2/5 (fraction=0.000)",0.00%,
Stakecito Labs,celestiavaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q5qhs58,23652108302,5137668144046,5114016035744,20.00%,N,Y,0.832,7/7,Y,force_included (PoA partner),4.22%,5.77%
NakoTurk,celestiavaloper1pnzrk7yzx0nr9xrcjyswj7ram4qxlrfz28xvn6,5997098509,4494901208215,4488904109706,20.00%,N,Y,0.734,7/7,N,uptime<95% (u=0.734),1.07%,
01node,celestiavaloper1murrqgqahxevedty0nzqrn5hj434fvffxufxcl,25669823705,4506142029483,4480472205778,20.00%,N,Y,0.999,6/7,Y,OK,4.58%,5.05%
Stakely.io,celestiavaloper1yknsyf9ws4ugtv3r9g43kwqkne4zmrupcxhlth,23483965348,4382093089801,4358609124453,20.00%,N,Y,0.966,6/7,Y,OK,4.19%,4.92%
"[Sunsetting, please redelegate] Informal Systems",celestiavaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5spge2ru,24773061299,4318220541701,4293447480402,20.00%,N,N,,,N,"inactive, name_excluded (redelegate), uptime<95% (u=0.000), gov<2/5 (fraction=0.000)",4.42%,
Easy 2 Stake,celestiavaloper1un77nfm6axkhkupe8fk4xl6fd4adz3y59fucpu,22138821749,4089199374818,4067060553069,20.00%,N,Y,0.884,4/7,N,uptime<95% (u=0.884),3.95%,
Stakin by The Tie,celestiavaloper1dlsl4u42ycahzjfwc6td6upgsup9tt7cz8vqm4,0,4016892849282,4016892849282,20.00%,N,Y,1,6/7,Y,OK,0.00%,4.53%
mammoth.guru,celestiavaloper1c46a0zml74hqzr3ww5vefa9khqxmjsdxu8f4dy,0,3894308627360,3894308627360,25.00%,N,Y,0.989,2/3,N,commission>20%,0.00%,
DSRV,celestiavaloper1vje2he3pcq3w5udyvla7zm9qd5yes6hzffsjxj,0,3859667275857,3859667275857,20.00%,N,Y,0.74,4/7,N,uptime<95% (u=0.740),0.00%,
