Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Coinbase01,cosmosvaloper10sjr8xv2yr83agmzw7acf6xxqrw8e3q6wvh5ne,0,67393986485669,67393986485669,20.00%,Y,Y,0.998,0/10,N,"CEX, commission>10%, top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
Upbit Staking,cosmosvaloper1x8efhljzvs52u5xa6m7crcwes7v9u0nlwdgw30,0,24175379040489,24175379040489,100.00%,Y,Y,0.999,0/10,N,"CEX, commission>10%, top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
Kiln,cosmosvaloper15gyzcp2kas2yntv9k3p0zm4k8y6e89ecmkeqee,0,18185359308778,18185359308778,8.00%,N,Y,1,8/10,N,top_N_stake,0.00%,
Kraken01,cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,0,14577312257252,14577312257252,10.00%,Y,Y,0.999,0/10,N,"CEX, top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
Everstake,cosmosvaloper1tflk30mq5vgqjdly92kkhhq3raev2hnz6eete3,0,12912002414201,12912002414201,8.00%,N,Y,1,9/10,N,top_N_stake,0.00%,
[Shutting down] cosmostation please redelegate,cosmosvaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4epsluffn,0,10620415543616,10620415543616,5.00%,N,Y,,,N,"top_N_stake, name_excluded (cosmostation), uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Blockdaemon,cosmosvaloper10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym5mpakx,0,9653469685410,9653469685410,10.00%,N,Y,0.995,1/10,N,"top_N_stake, gov<5/10 (fraction=0.100)",0.00%,
Ledger by Chorus One,cosmosvaloper10wljxpl03053h9690apmyeakly3ylhejrucvtm,0,9348027936425,9348027936425,7.50%,N,Y,1,0/10,N,"top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
DokiaCapital,cosmosvaloper14lultfckehtszvzw4ehu0apvsr77afvyju5zzy,0,8636881379423,8636881379423,15.00%,N,Y,1,3/10,N,"commission>10%, top_N_stake, gov<5/10 (fraction=0.300)",0.00%,
Binance Node,cosmosvaloper18ruzecmqj9pv8ac0gvkgryuc7u004te9rh7w5s,0,8438869261190,8438869261190,5.00%,Y,Y,1,0/10,N,"CEX, top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
Allnodes,cosmosvaloper1n229vhepft6wnkt5tjpwmxdmcnfz55jv3vp77d,6420999,7957607082114,7957600661115,5.00%,N,Y,1,9/10,N,top_N_stake,0.00%,
Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,0,7197342745574,7197342745574,9.00%,N,Y,0.997,0/10,N,"top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
SG-1,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,0,6664799804695,6664799804695,5.00%,N,Y,0.993,2/10,N,"top_N_stake, gov<5/10 (fraction=0.200)",0.00%,
Bitwise Onchain Solutions,cosmosvaloper15urq2dtp9qce4fyc85m6upwm9xul3049e02707,0,6594902826230,6594902826230,7.50%,N,Y,1,0/10,N,"top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
Keplr,cosmosvaloper1gf3dm2mvqhymts6ksrstlyuu2m8pw6dhfp9md2,198705041950,6089895846579,5891190804629,5.00%,N,Y,1,10/10,Y,force_included (PoA partner),7.14%,8.00%
CloudByte,cosmosvaloper1wvt5zugk97mrl5rm9c3m573f9gj03w2gyh8m5v,0,5668886164401,5668886164401,5.00%,N,Y,1,0/10,N,"top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
🐠stake.fish,cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,0,5275231142261,5275231142261,5.00%,N,Y,1,10/10,Y,OK,0.00%,8.00%
Informal Systems,cosmosvaloper16k579jk6yt2cwmqx9dz5xvq9fug2tekvlu9qdv,223452229847,4531741281128,4308289051281,5.00%,N,Y,1,1/10,N,gov<5/10 (fraction=0.100),8.03%,
Nansen | Stake to Stack Points,cosmosvaloper1jlr62guqwrwkdt4m3y00zh2rrsamhjf9num5xr,0,4030684548405,4030684548405,5.00%,N,Y,0.999,10/10,Y,OK,0.00%,8.00%
P2P.org,cosmosvaloper132juzk0gdmwuxvx4phug7m3ymyatxlh9734g4w,0,3591685736200,3591685736200,8.00%,N,Y,0.998,1/10,N,gov<5/10 (fraction=0.100),0.00%,
GAME,cosmosvaloper1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqgfnp42,222617413953,3495585952075,3272968538122,5.00%,N,Y,0.988,3/10,N,gov<5/10 (fraction=0.300),8.00%,
NO! Fee to 2025 💸 | melea.xyz,cosmosvaloper1zqgheeawp7cmqk27dgyctd80rd8ryhqs6la9wc,2846850,3261341361721,3261338514871,5.00%,N,Y,0.998,0/10,N,gov<5/10 (fraction=0.000),0.00%,
