Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Haqq Association,haqqvaloper16lp0xpq87cre5z4jkfddq78r5l4vcd7el2jlmj,0,179725685554789850007031818,1.79726E+26,10.00%,N,Y,,,Y,OK,0.00%,8.00%
[Shutting down on Sept 15 - please redelegate],haqqvaloper16gg3wzq8h98zyn9kjp7aw3jwy6pnxslrdhl7zp,0,170994400196238198059489605,1.70994E+26,10.00%,N,N,,,N,"inactive, name_excluded (redelegate)",0.00%,
Allnodes,haqqvaloper15eafuvcrh3c07z4g3pqgq68n3lmsyu5jd9swsy,0,168994316664397189708932638,1.68994E+26,5.00%,N,Y,,,Y,OK,0.00%,8.00%
Shariah Staking,haqqvaloper1hdeq7zk4qy6vn4vk96rwg8h4azt86jkhspj6k9,0,150329276693512702210300174,1.50329E+26,11.00%,N,Y,,,N,commission>10%,0.00%,
Republic,haqqvaloper1p6hvrej3r2tksazkvs0p3ecjkvlu27gkdlqjaj,0,131117319216529789908394419,1.31117E+26,20.00%,N,Y,,,N,commission>10%,0.00%,
CLOSED - Islamic Staking,haqqvaloper1p8k6xk94u24vv9dmxu3vkgg43fs3v72grkpjhm,3404566862077802114673425,115789547833845802324640832,1.12385E+26,10.00%,N,N,,,N,inactive,3.19%,
[NODERS],haqqvaloper1hgggrfgjeu4d5nveh03c6w37magsuqcy84p44t,1631295331676570357712739,96763011535655246664629719,9.51317E+25,15.00%,N,Y,,,N,commission>10%,1.53%,
Imperator.co,haqqvaloper1yxgsst9urp5s6qt7aqej09kywahn6djtduxd4p,0,94230908693421281502286877,9.42309E+25,5.00%,N,N,,,N,inactive,0.00%,
STAKEME,haqqvaloper1p02zk5ecdanap637e2wtt82cucjlxtkrhus623,5546642781816967315006229,99664259883745670569574390,9.41176E+25,10.00%,N,Y,,,Y,OK,5.19%,8.00%
"[Sunsetting, please redelegate] Forbole",haqqvaloper1yq0zsgqnyw5ya0vjxj3gd8yhdpw8uydekq5qrs,8574727362688322237696527,90645692571769253669241445,8.2071E+25,10.00%,N,N,,,N,"inactive, name_excluded (redelegate)",8.03%,
polkachu.com,haqqvaloper1th8c90trv8pfvsqf2n9p4whlcdew2yy2wcmgnp,8542692266688241332695213,86571934938690087932407066,7.80292E+25,5.00%,N,Y,,,Y,force_included (PoA partner),8.00%,8.00%
Virtue Validators,haqqvaloper146de7dnwqfdvxd4nvkrxkd4k9fcalmxy22gt0c,0,70006475854773549944223680,7.00065E+25,20.00%,N,Y,,,N,commission>10%,0.00%,
A41,haqqvaloper1tdzdn4zdnntdjkxtx8lrp9m8rpdu9yz356j8a5,0,55251356808149036405696604,5.52514E+25,10.00%,N,N,,,N,inactive,0.00%,
POSITIVA Ultra,haqqvaloper1zsujldhz9azrfewl0gex5ey8f6kvf9dk6ufk47,8542692266688241332695213,59472403246275465273736733,5.09297E+25,10.00%,N,Y,,,Y,OK,8.00%,8.00%
Neuler,haqqvaloper1a57vprf7lswm3aqy2g5gy509235wmtsfvf9q73,8542692266688241332695213,56616658026591985762018501,4.8074E+25,15.00%,N,N,,,N,"inactive, commission>10%",8.00%,
Lavender.Five Nodes 🐝,haqqvaloper1dqwmtp0ewnzep83mtf0j73xrwza74ncavusujw,8542692266688241332695213,40708409886234382550040078,3.21657E+25,5.00%,N,Y,,,Y,force_included (PoA partner),8.00%,6.26%
TakamulFi Validator,haqqvaloper1gcw6ru5akcmzvr3anqre8f3m8eml2rmrz8m6sl,928612429835803806804562,22518081332200420355795498,2.15895E+25,10.00%,N,Y,,,Y,OK,0.87%,4.20%
Abyss Finance,haqqvaloper1uz39tak5j7cctq9ss3l4pvlnngmng338thy062,3801498058676267393049338,24809592878280402632574264,2.10081E+25,10.00%,N,Y,,,Y,OK,3.56%,4.09%
Forest Staking,haqqvaloper1ktu3f367c0j0yet6apuefy8xt5n7eswns7yuff,3035150319001881470271208,23702193624236011379732231,2.0667E+25,10.00%,N,Y,,,Y,OK,2.84%,4.02%
Halal Node,haqqvaloper1vk0v3xuusxh8tcu63nmzrll9xwfcnujev6pd4w,2633824913417607905797858,22661972991453839435838778,2.00281E+25,10.00%,N,Y,,,Y,OK,2.47%,3.90%
Synergy Nodes,haqqvaloper1y4pfpkwpy6myskp7pne256k6smh2rjtaf0wcfl,3961673538676671918037368,19987345508165343866242868,1.60257E+25,10.00%,N,Y,,,Y,OK,3.71%,3.12%
StakingCabin,haqqvaloper1f6hy5d68hkx9wtp8er3mgdfwjfjr7tun5yu7us,2434667296006148779817921,18436055027071113576396107,1.60014E+25,10.00%,N,N,,,N,inactive,2.28%,
Palamar,haqqvaloper1xp597fjhgu6dx3a525htulkn36fqqntjaqvhct,2007532682671736713183324,14197115274140402171773242,1.21896E+25,8.00%,N,Y,,,Y,OK,1.88%,2.37%
P-OPS Team,haqqvaloper1xwwut6nrqmqqyv4w5an4x0zwr8vt7vy7s723s6,6713051762287574724053,12075042817756807573832902,1.20683E+25,10.00%,N,Y,,,Y,OK,0.01%,2.35%
StakeBroker,haqqvaloper1rssz59ag9r4hm0tj8avp6x47uuqc9xtc8umtnr,1826000472004611584863548,13873432188385011583628605,1.20474E+25,10.00%,N,Y,,,Y,OK,1.71%,2.34%
Nodes.Guru,haqqvaloper1esy5m56f7gsgckjgvwreq6yd95rp5k2uf58sqw,6396340834682820697855523,18430413731935288667022387,1.20341E+25,10.00%,N,Y,,,Y,OK,5.99%,2.34%
Brightlystake,haqqvaloper19as88jg6qywfu0uymqsvcmuvqck5nngjjr8q4e,929163085926431039168766,12956004353645117032210486,1.20268E+25,15.00%,N,Y,,,N,commission>10%,0.87%,
kioqq @ haqq.sh,haqqvaloper1a4qnqnk5ag0um6z3unkdth92v9c46x0dcpe2n0,1975497586671655808185723,13983033016220789172089009,1.20075E+25,10.00%,N,N,,,N,inactive,1.85%,
SerGo,haqqvaloper15uexkcv25gshhyunn97369y6379flhm7dsn3dc,917144580219995279775607,12920641881163085279120202,1.20035E+25,10.00%,N,Y,,,Y,OK,0.86%,2.34%
StakeUp,haqqvaloper1ysps8cnwp868hw3srcsy8mkk9cvv7g70evv2v9,1826000472004611584863548,13829325318268725401051517,1.20033E+25,10.00%,N,Y,,,Y,OK,1.71%,2.34%
L0vd.com,haqqvaloper188rzn2dgqtfx98eke434xtas9ngef9c5zfccsw,1826000472004611584863548,13828447385884699084149881,1.20024E+25,10.00%,N,Y,,,Y,OK,1.71%,2.34%
🙏 uGaenn ⛅,haqqvaloper1m7esphm6f43vanux04ug9tyrxm8awrhd4sm6nh,1826000472004611584863548,13827571678448952848789394,1.20016E+25,8.00%,N,Y,,,Y,OK,1.71%,2.34%
