Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Kraken,injvaloper1w3psm8a9td2qz06s46cxss03mz5umxaxegvhhs,0,4296287209753717787010507,4.29629E+24,10.00%,Y,Y,,,N,CEX,0.00%,
Everstake,injvaloper134dct56cq5v7uerxcy2cn4m06mqf4dxrlgpp24,1277944521459484970267,3484157395778066835713504,3.48288E+24,10.00%,N,Y,,,Y,OK,5.54%,8.00%
Binance Staking,injvaloper1lsuqpgm8kgwpq96ewyew26xnfwyn3lh3ncrkrk,0,3467275896851157680435898,3.46728E+24,7.00%,Y,Y,,,N,CEX,0.00%,
Injective Foundation,injvaloper1xnhwtlx47guamp36wkmnk6h4y7eqqn7jr8xcve,0,2659263183943662838638330,2.65926E+24,100.00%,N,N,,,N,"inactive, commission>10%",0.00%,
SCV-Security,injvaloper19a77dzm2lrxt2gehqca3nyzq077kq7qsgvmrp4,1958227451909836136556,2637987397283976423938697,2.63603E+24,5.00%,N,Y,,,Y,OK,8.49%,6.52%
Injective Foundation 2,injvaloper13v0sulppc8pgtk4907p3vaqgq54vyl9yqmf7av,1955773532797167168968,2621234060578133773131646,2.61928E+24,5.00%,N,Y,,,Y,OK,8.48%,6.48%
Figment,injvaloper1g4d6dmvnpg7w7yugy6kplndp7jpfmf3krtschp,1356469743773001820769,2570014042314478295980304,2.56866E+24,5.00%,N,Y,,,Y,OK,5.88%,6.35%
Informal Systems,injvaloper10xhy8xurfwts9ckjkq0ga92mrjz9txyygymqzp,1963135290135174080247,2169375077385848982391948,2.16741E+24,5.00%,N,Y,,,Y,OK,8.51%,5.36%
Cointelegraph Decentralization Guardians,injvaloper1vgu49xjgle9k84smvrwlyuc38u0cakuz7q3a5f,1202420365207794118821,2003687087197622026154620,2.00248E+24,10.00%,N,Y,,,Y,OK,5.21%,4.95%
FalconX,injvaloper1da0shwz2mcup5rxkykquc9a7mh4s2hkeah9wuc,0,1902066811370366629647222,1.90207E+24,5.00%,N,Y,,,Y,OK,0.00%,4.70%
Core ONE,injvaloper1yljq5pdnx84kkg30jfmz6ddu4eyp7twyp4z40f,742776418610025560292,1832796316309541138802606,1.83205E+24,5.00%,N,Y,,,Y,OK,3.22%,4.53%
Innovating Capital,injvaloper1rqqpyuka5dxulzjslnzjld2ltcw5095rr0jz07,0,1488491791989033750354972,1.48849E+24,7.50%,N,Y,,,Y,OK,0.00%,3.68%
Cosmostation,injvaloper1rvqzf9u2uxttmshn302anlknfgsatrh5v7fl7e,851509932096131751975,1425189703241722248123888,1.42434E+24,5.00%,N,Y,,,N,name_excluded (cosmostation),3.69%,
Bitwise Onchain Solutions,injvaloper14yeq3lkajldaggj28hmq8xng9xux7x5g46hezv,553622175361509734353,1399830261619704255290124,1.39928E+24,7.50%,N,Y,,,Y,OK,2.40%,3.46%
Solva (CryptoCrew),injvaloper1nq37nq79w2j76xj8qhjzcn6vh0wlx0qk2r7zm6,763537250186082175335,1377259326905178299519222,1.3765E+24,5.00%,N,Y,,,Y,force_included (PoA partner),3.31%,3.40%
Kiln,injvaloper1vm2gflv53mzy9ak4f8cr9ml3xus980wywe9fx2,13176704505440984066,1355576648749036555297640,1.35556E+24,10.00%,N,Y,,,Y,OK,0.06%,3.35%
Nansen | Stake to Stack Points,injvaloper1nm48eujr28u3htqrjumfwhytn63rmca2prtklt,0,1249287857196708614117823,1.24929E+24,5.00%,N,Y,,,Y,OK,0.00%,3.09%
polkachu.com,injvaloper125fkz3mq6qxxpkmphdl3ep92t0d3y9695mhclt,567462729745547477713,1147379002117968864280252,1.14681E+24,5.00%,N,Y,,,Y,force_included (PoA partner),2.46%,2.84%
Decentrio-Labs,injvaloper1mlsg82x0mnw88u2teg0kceautjktgcl08tqfs4,161744430388778538491,1134260864231192683472669,1.1341E+24,5.00%,N,Y,,,Y,OK,0.70%,2.80%
Hex Trust,injvaloper16jkt2gcm8qfxzjj8j6pvyc045ga82pmthz58mp,0,1028170988599999999999999,1.02817E+24,7.50%,N,Y,,,Y,OK,0.00%,2.54%
