Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Hamming,bandvaloper128dkddh98pfwdxg07t36fxedczthg0p2mdcs42,0,10286722265995,10286722265995,100.00%,N,Y,,,N,commission>10%,0.00%,
Knuth,bandvaloper1wja9nds8klxcjurvxerdsun4t52zfjvqpj6y54,0,10277889913702,10277889913702,100.00%,N,Y,,,N,commission>10%,0.00%,
Tarjan,bandvaloper1m88fha4982ev7smptzu8a7wvt8wkxdvfewh2md,0,10252777261052,10252777261052,100.00%,N,Y,,,N,commission>10%,0.00%,
Dijkstra,bandvaloper1r00x80djyu6wkxpceegmvn5w9nx65prgqhxkzq,0,10198020021864,10198020021864,100.00%,N,Y,,,N,commission>10%,0.00%,
Kruskal,bandvaloper1f6htx23e4xfu0dkpa2ck2kk63la2ej947cq0w4,0,10171371121861,10171371121861,100.00%,N,Y,,,N,commission>10%,0.00%,
Binance validator,bandvaloper153znf8a89gmunexzrg2ud2yz47gyer9c05t2l8,0,5565919824102,5565919824102,2.50%,Y,Y,,,N,CEX,0.00%,
sorawit,bandvaloper1ycs4g7xu8wmf7n4vwwtfsvhtfm7tekvwk34rxz,40884908885,3067248080601,3026363171716,10.00%,N,Y,,,Y,OK,8.00%,8.00%
Nansen | Stake to Stack Points,bandvaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvn4hl7n,35518764591,2608999453315,2573480688724,10.00%,N,Y,,,Y,OK,6.95%,8.00%
B-Harvest,bandvaloper1q894x7p4ugl3q5l47e8ksll5k5lmx74fxqez5y,34496641866,2541015864385,2506519222519,10.00%,N,Y,,,Y,OK,6.75%,8.00%
Active Nodes,bandvaloper1nqmeykpnqdccxf2kfqnwszy748ll3qlzu0heyt,28108374842,2076861307382,2048752932540,9.90%,N,Y,,,Y,OK,5.50%,6.77%
Forbole,bandvaloper14kn0kk33szpwus9nh8n87fjel8djx0y0wz502z,27801738026,2050710018158,2022908280132,10.00%,N,Y,,,Y,OK,5.44%,6.69%
HashKey Cloud,bandvaloper1dr64r506ln5n3aqqgkccf56uwdd9d9jvlh9l4p,20697985093,1522550855064,1501852869971,10.00%,N,Y,,,Y,OK,4.05%,4.96%
Wanchain,bandvaloper1lksevk5362eterq75haf7wxx6jdpgdzyd9ms9h,20800197357,1423418099515,1402617902158,10.00%,N,Y,,,Y,OK,4.07%,4.64%
Citadel.one,bandvaloper10grrhfawl98ypn5x25zmqcp8f20eg9sw56v3e0,15945114426,1228413222741,1212468108315,5.00%,N,Y,,,N,name_excluded (citadel.one),3.12%,
Wellstake,bandvaloper1cuc594q8uam3rx90tztgplssnymlqnr5epmsjq,15178522389,1115885329907,1100706807518,10.00%,N,Y,,,Y,OK,2.97%,3.64%
Stakecito Labs,bandvaloper1p26kdh5fx24qz9xa5jtjje8ha8ee9q44nrsc8c,14156399668,1078646194903,1064489795235,10.00%,N,Y,,,Y,force_included (PoA partner),2.77%,3.52%
Imperator.co,bandvaloper1lvnlajgsn6mkx0p33g7ge6jyfpjlhrpv7clhqk,13900868981,1064558298149,1050657429168,10.00%,N,Y,,,Y,force_included (PoA partner),2.72%,3.47%
Ubik Capital,bandvaloper14wuzcsyttmyedc7e7z7e0exhg8k94x6eulj6pt,14207505795,1045361758501,1031154252706,10.00%,N,Y,,,Y,OK,2.78%,3.41%
Stake Shark,bandvaloper1nguv0kdayw7qhy6d354el4f87d67ynt52wrdk3,13134276935,1041760777125,1028626500190,10.00%,N,Y,,,Y,OK,2.57%,3.40%
WeStaking,bandvaloper1qgvcttnjx3enjqg9pnhclt6d4z7qdknavg4q9c,14054187391,1033354045541,1019299858150,10.00%,N,Y,,,Y,OK,2.75%,3.37%
InfStones,bandvaloper1hln9scsl9yqup8nxyum06rmggql5m5zqwxmt3p,13747550566,1013833970433,1000086419867,10.00%,N,Y,,,Y,OK,2.69%,3.31%
polkachu.com,bandvaloper1cmx8hvx8pn9ezuc57rgy3dqqlkju6uph3mjwxs,14360824200,1014047242201,999686418001,1.00%,N,Y,,,Y,force_included (PoA partner),2.81%,3.30%
htx,bandvaloper1aqqfs9dftsmdnp3tuzqfvpwd4768mj42pd67ea,13747550566,963759525566,950011975000,10.00%,N,Y,,,Y,OK,2.69%,3.14%
Enigma,bandvaloper1pp534se9rmt59d5zkv4p8cp6jj5zxm4uxdhejs,9659059674,711164625613,701505565939,10.00%,N,Y,,,Y,OK,1.89%,2.32%
StakeCraft,bandvaloper1unfg2zhnssl07tql8d85zc6rx7zsfs5qh206av,8330300132,613955814915,605625514783,10.00%,N,Y,,,Y,OK,1.63%,2.00%
Stakewolle.com | Auto-compound,bandvaloper1hcu2spr3r80v36us40mg938f5qhaqq2qeajtfv,7359283547,543625328906,536266045359,4.00%,N,Y,,,Y,OK,1.44%,1.77%
HighStakes.ch | Daily Airdrops,bandvaloper1uytng9pl50mtedmsdrzanvy8vgxttvysw59ugd,7410389681,542309065354,534898675673,5.00%,N,Y,,,Y,OK,1.45%,1.77%
BitNordic,bandvaloper1qzl2ckmfv83w4f65rf77utuc5jmhtexpjxjyzw,7052646732,523326331227,516273684495,5.00%,N,Y,,,Y,OK,1.38%,1.71%
w3coins,bandvaloper1hdw8pzr79y4at0teak0mwcrjhv3e6n3wegfv2m,7052646732,509894920307,502842273575,10.00%,N,Y,,,Y,OK,1.38%,1.66%
StakingCabin,bandvaloper15ak2q82ddzhxfdgcah34sfxjr7gqchmm4qssqc,0,500367635290,500367635290,10.00%,N,Y,,,Y,OK,0.00%,1.65%
0base.vc,bandvaloper13vd9rzgytsvcm278ufehsvdvg2kky2djwjguq7,5621674920,413391719699,407770044779,10.00%,N,Y,,,Y,OK,1.10%,1.35%
🎲 Hub,bandvaloper147k9e3ssy8yh2xjqmgjc8pnvwgzrl4g2fj306s,0,339775377813,339775377813,10.00%,N,Y,,,Y,OK,0.00%,1.12%
ContributionDAO,bandvaloper1qcncyz7lk6am048zhuyh2vv47ymf929lpdfd7d,0,324053571871,324053571871,10.00%,N,Y,,,Y,OK,0.00%,1.07%
AutoStake 🛡️ Slash Protected,bandvaloper1xs2penspev206jj0egh5qu7qmr6mjzfgj299xl,4446233777,312799671828,308353438051,10.00%,N,Y,,,Y,OK,0.87%,1.02%
Stakeflow,bandvaloper17s35yz3rglx7pnjppm4u9l9ht2k9mr9tq0eyh6,4139596967,305956538694,301816941727,10.00%,N,Y,,,Y,OK,0.81%,1.00%
Cosmos Spaces,bandvaloper1fzhy0swda9ajmtqeh0ch8v59ngnwsy8ys2dhv9,0,301546713368,301546713368,8.00%,N,Y,,,Y,OK,0.00%,1.00%
TTT VN,bandvaloper1h9a8wasp8zvj8h06mp7tlm0eetgacafkyfqapc,0,300017743861,300017743861,10.00%,N,Y,,,Y,OK,0.00%,0.99%
Nodes.Guru,bandvaloper1ppycvs7hfnw37aghc9mc58zy9al793sr4mwxjg,0,300006570000,300006570000,10.00%,N,Y,,,Y,OK,0.00%,0.99%
Solva (CryptoCrew),bandvaloper1ev4ylm9q6kyzsck3t6sw0h86zev95cfxzkn4cz,4344021507,293257511329,288913489822,5.00%,N,Y,,,Y,force_included (PoA partner),0.85%,0.96%
node101,bandvaloper1l8zzhhe3ltlkk7sd38rcw7u6g9d609t2etc2zp,0,250050278838,250050278838,5.00%,N,Y,,,N,over_32_cap,0.00%,
Antrix Validators,bandvaloper1tfej533yf07npx6cpl989k5mqrpdn4hdsuyqya,0,244346530684,244346530684,10.00%,N,Y,,,N,over_32_cap,0.00%,
Inter Blockchain Services,bandvaloper12v3458kg298ckge36lsqafmmggj3pywj062p2q,0,217850137346,217850137346,5.00%,N,Y,,,N,over_32_cap,0.00%,
Atlas Staking (Autocompound Rewards),bandvaloper16c9s32mr3q59w6dupwreh5yyzu20nlp3ctxapu,0,216047779596,216047779596,9.00%,N,Y,,,N,over_32_cap,0.00%,
Bro_n_Bro,bandvaloper13xe7vcptjcrj9jz3z0vu80tgmarxay99c2ucpn,0,196048136716,196048136716,5.00%,N,Y,,,N,over_32_cap,0.00%,
[Shutting down] cosmostation please redelegate,bandvaloper17d3uhcjlh4jyqcep82jfsrg8avsngklxxan5tg,40936017120,187207721012,146271703892,10.00%,N,N,,,N,"inactive, name_excluded (cosmostation)",8.01%,
figment,bandvaloper1zm5p8gg3ugjcdwz9yrxaf6fdptxa4gw04rplr9,0,129434515793,129434515793,10.00%,N,N,,,N,inactive,0.00%,
