Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
DELIGHT,terravaloper1f6wuq93320s6w7vvnkc0576g9mtqfmz9a8wqxk,0,28874760377750,28874760377750,5.00%,N,Y,,,N,top_N_stake,0.00%,
Allnodes,terravaloper120ppepaj2lh5vreadx42wnjjznh55vvktp78wk,0,24585293220969,24585293220969,10.00%,N,Y,,,N,top_N_stake,0.00%,
Smart Stake,terravaloper188e99yz54744uhr8xjfxmmplhnuw75xea55zfp,0,20847141583709,20847141583709,10.00%,N,Y,,,N,top_N_stake,0.00%,
VegasNode,terravaloper1zan8943qgnkdnrxcpg3krhagpsll7acdpr7kqj,0,14201285510832,14201285510832,5.00%,N,Y,,,N,top_N_stake,0.00%,
KuCoin LUNA Node,terravaloper1gdvfugy7vt9vk8evntwe54knsqyncmpjzyhljt,0,13449950679836,13449950679836,5.00%,Y,Y,,,N,"CEX, top_N_stake",0.00%,
LUNAStaker,terravaloper19kg9ncvkuk08pxz0rnnywh65h5tvux9mlj7tc3,0,13080489812917,13080489812917,5.00%,N,Y,,,N,top_N_stake,0.00%,
polkachu.com,terravaloper1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v36nmjh,0,11449245349019,11449245349019,5.00%,N,Y,,,Y,force_included (PoA partner),0.00%,8.00%
Orbital Command,terravaloper1lelhxdzwn9ddecv6sv0kcxj5tguurxnzcfs5wf,5818405902,10158140498007,10152322092105,10.00%,N,Y,,,N,top_N_stake,4.47%,
Galactic Punks Validator,terravaloper15lsftv92eyssjwkh2393s0nhjc07kryqen2fqf,0,9987921577869,9987921577869,10.00%,N,Y,,,N,top_N_stake,0.00%,
ERIS ⚡️ Delegate for claimdrop,terravaloper1vm5azhvaxeanc7auxh02y8jmxrk8tj93f43e7j,6773847228,9439975383126,9433201535898,10.00%,N,Y,,,N,top_N_stake,5.20%,
Stakely.io,terravaloper16vc0num5aaq4mqdh4vjhs02s3ypd0j8c7ujxpm,0,9163389290505,9163389290505,5.00%,N,Y,,,N,top_N_stake,0.00%,
🦁 The Lion DAO,terravaloper1pet430t7ykswxuyhh56d4gk6rt7qgu9as6a5r0,0,9039144158617,9039144158617,7.50%,N,Y,,,N,top_N_stake,0.00%,
[Shutting down] cosmostation please redelegate,terravaloper1564j3fq8p8np4yhh4lytnftz33japc03wn40kg,0,8728955485405,8728955485405,5.00%,N,N,,,N,"inactive, name_excluded (cosmostation)",0.00%,
cosmosrescue,terravaloper1htey4gcdcass29vn4dwjcuq58mrvv8ra5pjz4k,505900174,8453374747477,8452868847303,10.00%,N,Y,,,Y,OK,0.39%,6.35%
HighStakes.ch | Stake for Airdrop,terravaloper1pgyelqv0hwjavgf6vhdm4e4pt766wfxxczu20l,5512165850,7401939632506,7396427466656,10.00%,N,Y,,,Y,OK,4.23%,5.55%
Terrascope,terravaloper1jt8pcx4sesgztjkjsvjjqtvyfgcehqx09u4exq,7830204850,7182624610785,7174794405935,10.00%,N,Y,,,Y,OK,6.01%,5.39%
Lavender.Five Nodes 🐝,terravaloper1vcd42qfvlvnjwaw7hvl6y32wrzqxvas653yus9,540973105,7174840830089,7174299856984,5.00%,N,Y,,,Y,force_included (PoA partner),0.42%,5.39%
Synergy Nodes,terravaloper1tm0xkark2ufecmdhgaaw7gqsycyt4qag6py8x6,7156774372,6633839687529,6626682913157,10.00%,N,Y,,,Y,OK,5.49%,4.98%
TheNFTProject,terravaloper1ltegerwren4tcaxpwxpkgs94ztnrcu0sk9cajz,0,6173436178993,6173436178993,100.00%,N,N,,,N,"inactive, commission>10%",0.00%,
BackBone Labs | Delegate for $SOUL Claim Drop,terravaloper1wr0p7dzss74wfmzfqm8r65mk26efg5zhzpm77s,3205656726,5748198792268,5744993135542,10.00%,N,Y,,,Y,OK,2.46%,4.31%
01node,terravaloper1wdymftapg5pcvf2aqw4pd0yuuh5w9m6yqdnukv,0,5639987271256,5639987271256,5.00%,N,Y,,,Y,OK,0.00%,4.23%
Active Nodes,terravaloper1a9zv7n6pmkzlm3wj6c23qyejqlmyxsl5faanrv,482518194,5616510842163,5616028323969,9.00%,N,Y,,,Y,OK,0.37%,4.22%
Stakin by The Tie,terravaloper1mgpgp53tynj4djmckxdjhufa7q8lqqjuwnrlqm,5981582536,5446015757713,5440034175177,10.00%,N,Y,,,Y,OK,4.59%,4.08%
SOLID,terravaloper1cqc26lnatzxvu0z5nd4yx8m4ecllkm7jlakwrw,5225481101,4898955228662,4893729747561,10.00%,N,Y,,,Y,OK,4.01%,3.67%
WildSage 🧙,terravaloper1l920a79akuc98hz4389axf9ctcymrf5ays578x,4899702975,4861490728756,4856591025781,5.00%,N,Y,,,Y,OK,3.76%,3.65%
SCV-Security,terravaloper10c04ysz9uznx2mkenuk3j3esjczyqh0j783nzt,5069107602,4801859295783,4796790188181,10.00%,N,Y,,,Y,OK,3.89%,3.60%
Pro-Nodes75,terravaloper1puzp2yjqps43x7nse33svljc550xjz35jxg432,5069107602,4737751572474,4732682464872,7.00%,N,Y,,,Y,OK,3.89%,3.55%
Ceres Ventures,terravaloper1q8w4u2wyhx574m70gwe8km5za2ptanny9mnqy3,204060388,4388109254635,4387905194247,9.99%,N,Y,,,Y,OK,0.16%,3.29%
0base.vc,terravaloper1plxp55happ379eevsnk2xeuwzsrldsmqduyu36,4508769226,4267674283506,4263165514280,9.00%,N,Y,,,Y,OK,3.46%,3.20%
closed,terravaloper1vh9m0jpuznh00t05c66yqqpsgqzudrg258q6ch,4209053351,4026767426893,4022558373542,10.00%,N,N,,,N,inactive,3.23%,
TdrSys | Auto-Compound,terravaloper1cs0dspacdhym4cwcm3f7suurfszvl6k5s9p06a,4169959977,3827562080535,3823392120558,5.00%,N,Y,,,Y,OK,3.20%,2.87%
Aardvark,terravaloper1wzvgc8j840qtsfsa55kuf9cypqwa2tqnkrduqx,0,3413262811582,3413262811582,13.00%,N,Y,,,N,commission>10%,0.00%,
Centauri Alpha,terravaloper1fs8g3mlg3f4f4yrckvwk7dk4lt3nv4gtx2uqwj,4443613603,3178468169837,3174024556234,10.00%,N,Y,,,Y,OK,3.41%,2.38%
Top Shelf,terravaloper1a98g7kjemhgvmu4zyddnrv8fgccd4keac0w38t,0,2710389489452,2710389489452,20.00%,N,N,,,N,"inactive, commission>10%",0.00%,
Core Dev (Engineering@Terra),terravaloper14rftkw37eltf74degzajq4s5phg23vjlu9h9as,3335967980,2558564832256,2555228864276,5.00%,N,Y,,,Y,OK,2.56%,1.92%
Coinage x DAIC,terravaloper17kh8ngu3s74epwympaxrp4ukahm5rvtf5zc8ma,2410758102,2483967237488,2481556479386,5.00%,N,Y,,,Y,OK,1.85%,1.86%
Orion - Auto-Compound,terravaloper1dvl464gpzxwru4a97q6pzqv7n7rcnxwlyspnau,2045886604,2467152433094,2465106546490,5.00%,N,Y,,,Y,OK,1.57%,1.85%
TerraDactyl,terravaloper1axr9pdaf5u0jryrlzhs4twvyaj4rr49mmvywn8,0,2459392349585,2459392349585,20.00%,N,N,,,N,"inactive, commission>10%",0.00%,
ISS,terravaloper17q3y0exn6ndxkf78rcvj70gp7mrezmdx4z54xu,0,2402182193541,2402182193541,13.00%,N,Y,,,N,commission>10%,0.00%,
Node39.TOP,terravaloper1l63t9c0nruewg5zdrmv8pvcxdg0az6fqgg008k,2436820356,2332475615121,2330038794765,10.00%,N,Y,,,Y,OK,1.87%,1.75%
owlstake,terravaloper1lg8zwpjvyx4pqy0j5ue2kf08edkuwy6l0j7f0h,1219742728,2328928475075,2327708732347,10.00%,N,Y,,,Y,OK,0.94%,1.75%
Burrito Node,terravaloper16x9dcx9pm9j8ykl0td4hptwule706ysjel6500,0,2257682560803,2257682560803,5.00%,N,Y,,,Y,OK,0.00%,1.69%
4719,terravaloper13qjxhnw98lm36rxc9yjakkmulhpv7zctdhcl03,677800571,2220012952591,2219335152020,20.00%,N,N,,,N,"inactive, commission>10%",0.52%,
NFTSwitch.xyz | Delegate for $SOUL Claim Drop,terravaloper1vrkzjujfds9p8t5g0xety3e3ft4dep02etv9le,198746323,2185081944814,2184883198491,6.00%,N,Y,,,Y,OK,0.15%,1.64%
Interstellar 🍸,terravaloper1kepapcnh78hsk8nx2u9nv05rn7vjwwf4fr59zu,2449851479,2157620149785,2155170298306,10.00%,N,Y,,,Y,OK,1.88%,1.62%
Secure Secrets,terravaloper1wzu2j73nvccghywtghku5ch59f67jykw58na64,2045886604,1835450437621,1833404551017,5.00%,N,Y,,,Y,OK,1.57%,1.38%
TERRA-FIRMA,terravaloper1s6j9wxyprdsxmdf6mvsegsldvmtk0p92pa7aey,2058917730,1810627742162,1808568824432,10.00%,N,Y,,,Y,OK,1.58%,1.36%
coinhall.org,terravaloper1ge3vqn6cjkk2xkfwpg5ussjwxvahs2f6at87yp,0,1802732743316,1802732743316,5.00%,N,Y,,,Y,OK,0.00%,1.35%
Y,terravaloper18pmvpy25zc7x0u8ppefuyyl2zaafe2wut0nm5e,2267415731,1800087903261,1797820487530,10.00%,N,Y,,,Y,OK,1.74%,1.35%
Nansen | Deprecating - Please redelegate,terravaloper1wwq9mfkkqfta334d4hcjrjau9y50a4hw37zhdl,2645318354,1793126202544,1790480884190,5.00%,N,N,,,N,"inactive, name_excluded (redelegate)",2.03%,
Moon Platoon,terravaloper1j4cc2p4f4t4m3z37gumr6cr64vm605aa4wmcyf,0,1745250781059,1745250781059,20.00%,N,Y,,,N,commission>10%,0.00%,
Luna Whale,terravaloper1znh6eq79l3z5l7ctnrjr2d8ksaght25lku6mlw,0,1715447031113,1715447031113,20.00%,N,Y,,,N,commission>10%,0.00%,
Stakeflow,terravaloper1tfy452kxfcsa2353nenltade9esj7ffrc38gwn,0,1707853310695,1707853310695,10.00%,N,Y,,,N,over_32_cap,0.00%,
Futura Meridian,terravaloper1t3zvwaz7v3epg3f33waxajv4nj95mt8ma9yc7g,0,1693043137918,1693043137918,20.00%,N,Y,,,N,commission>10%,0.00%,
🔥 LUNC DAO 🔥,terravaloper1tz203ptlsfs8c63f2j0d0872pt5frjrvtfg0vd,3292085786,1694712357023,1691420271237,20.00%,N,N,,,N,"inactive, commission>10%",2.53%,
Mosaic,terravaloper1tthd0d5t6xksag3qp5cwvmyj7d6k9sktujnjrk,0,1682755753750,1682755753750,20.00%,N,N,,,N,"inactive, commission>10%",0.00%,
Free Do,terravaloper1hr7svdp2rga9vf3ry95sx7g5wyspgwmg96vqg5,0,1620120387334,1620120387334,20.00%,N,Y,,,N,commission>10%,0.00%,
Sapient Nodes,terravaloper12y453v20w2dlv2y0vlepf88ng0r6sfsz6k7qm4,0,1612903558018,1612903558018,16.00%,N,Y,,,N,commission>10%,0.00%,
Solva (CryptoCrew),terravaloper199fjq4rnfvz24cktl8cervx8h8e90rukmgdv5x,0,1610568822663,1610568822663,5.00%,N,Y,,,Y,force_included (PoA partner),0.00%,1.21%
AutoStake 🛡️ Slash Protected,terravaloper1yy5379nk24xffpq4egw7ue4ad3j7l79ma2enmz,0,1587845462643,1587845462643,10.00%,N,Y,,,N,over_32_cap,0.00%,
Talis Protocol,terravaloper1vjr8z6g38f39j23y55pdektc3l2uqc9y02f9k5,0,1581749972377,1581749972377,13.00%,N,Y,,,N,commission>10%,0.00%,
TCB @THORmaximalist,terravaloper1kxyzu575tex8dv6d5uk26t4q8x5lusw082w3t8,5766164230,1533633536056,1527867371826,20.00%,N,Y,,,N,commission>10%,4.43%,
Mario,terravaloper1rgdps79da300t87twwkcly6ec3vlpgpfgnsel5,1967699855,1516686232379,1514718532524,19.90%,N,Y,,,N,commission>10%,1.51%,
Easy 2 Stake,terravaloper1kgn6zznfq2xwrw3hrh7qtqjwu98es7vt8azjl3,0,1496007659125,1496007659125,5.00%,N,Y,,,N,over_32_cap,0.00%,
Flipside,terravaloper1mh0zq89rggupayas2jlfffcyshaf4ep2j09jyv,0,1473586338341,1473586338341,20.00%,N,N,,,N,"inactive, commission>10%",0.00%,
HEXXAGON,terravaloper1aa6f2qeu0hrqpsxe4rggz0k7e43jfce43arz82,0,1471830391226,1471830391226,5.00%,N,Y,,,N,over_32_cap,0.00%,
LUNA REWARDS,terravaloper1hy8lzd38kp0t8662r2vnxsc4ezs3l74506jx02,0,1443338253713,1443338253713,5.00%,N,Y,,,N,over_32_cap,0.00%,
Monster Node,terravaloper1xgejf5yvc2ff4ddrd4nuvcmexx5sn94aaz84tc,0,1426171843057,1426171843057,10.00%,N,Y,,,N,over_32_cap,0.00%,
MANTRA DAO,terravaloper1yej82e2zursn2f56vgxfvmydwj9f2awluhusqh,2137104479,1354959742162,1352822637683,5.00%,N,N,,,N,inactive,1.64%,
Nodeplus,terravaloper1kcsunyhnhmnc0afrrynd7qfzykmhm3w5ely6fh,0,1304159606721,1304159606721,10.00%,N,Y,,,N,over_32_cap,0.00%,
moonshot,terravaloper1l9mchtvqgvpyskgtemsrkjn0e57a7wm6c863uj,0,1274721479916,1274721479916,20.00%,N,Y,,,N,commission>10%,0.00%,
Autism Staking,terravaloper10mmhvx5nrnuye2x9zhe02jcg0hfzzzjlwc0sxw,0,1243639134078,1243639134078,5.00%,N,Y,,,N,over_32_cap,0.00%,
Craig,terravaloper1pervlaqpwmyh6t5dnly34t6d6wptstwt66tu20,0,1225797655215,1225797655215,20.00%,N,N,,,N,"inactive, commission>10%",0.00%,
FreshSTAKING,terravaloper1ygwhuksjq3nymd9n8kmceaxd3vxv97u7ja33aj,0,1206466314426,1206466314426,9.99%,N,Y,,,N,over_32_cap,0.00%,
Obi (Formerly Terra Bites),terravaloper1src9wvawtfl6ztxss8zu45zuxnwj4ytpnr30jn,0,1202288569496,1202288569496,10.00%,N,Y,,,N,over_32_cap,0.00%,
stakingcabin,terravaloper1jveyrzquwrt0txanmhg7jdhf2q4ry28k2esps4,0,1139011567197,1139011567197,10.00%,N,Y,,,N,over_32_cap,0.00%,
SHUTDOWN | REDELEGATE,terravaloper18vnm040mwk0d6plc60v5m9h2376gkcphknuwzs,0,1103495728764,1103495728764,20.00%,N,N,,,N,"inactive, commission>10%, name_excluded (redelegate)",0.00%,
