Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Omnistake.com,sagavaloper1am6qxsfxpzxdk7j8e8s37vs6pe8zr6m922nqte,8901233244,13164761632618,13155860399374,0.00%,N,Y,,,Y,OK,9.04%,11.31%
[Shutting down] cosmostation please redelegate,sagavaloper1nv7mzp90rjxkgrr7ymcfqufgjeqtr7ptfeflz8,8576298487,10523897326280,10515321027793,1.50%,N,Y,,,N,name_excluded (cosmostation),8.71%,
NodeStake,sagavaloper19f0w9svr905fhefusyx4z8sf83j6et0gsn0qkm,8556605496,7441752786295,7433196180799,1.00%,N,Y,,,Y,OK,8.69%,11.31%
Restake,sagavaloper1wja9f0d7pllx35k34evemkvh4x56tjxxw8p8g5,0,7059256662904,7059256662904,10.00%,N,N,,,N,inactive,0.00%,
Lavender.Five Nodes 🐝,sagavaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zupu4tk,5514038056,4769364122294,4763850084238,2.75%,N,Y,,,Y,force_included (PoA partner),5.60%,11.31%
UnityFarms (20% to charity),sagavaloper1pg3u9vl53jngwfly0370jne8fv533hd6emrfmd,3278883336,4653511358988,4650232475652,2.75%,N,N,,,N,inactive,3.33%,
Stakecito Labs,sagavaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7qsdtg4m,5189103672,3649009858823,3643820755151,5.00%,N,Y,,,Y,force_included (PoA partner),5.27%,11.31%
P2P.org 💙,sagavaloper15eryzkm5y7d2ldqf6he7g943g9hepxwa6puvjz,6853161592,3008245806057,3001392644465,2.75%,N,Y,,,Y,OK,6.96%,10.52%
StakingCabin,sagavaloper1smw8w75qzprplv5g4afkrjkxz0sh4d84qqz4cw,5100485204,2961651219596,2956550734392,2.75%,N,Y,,,Y,OK,5.18%,10.36%
A41,sagavaloper17wv4hy9h3a8wdxeq0cd652zv8eyw7ytmep2237,0,2817702783957,2817702783957,2.75%,N,N,,,N,inactive,0.00%,
Nocturnal Labs,sagavaloper1axyv94rv40cug6acgh0zlzvq9awf4ajea3yrd4,2776712015,2776446745531,2773670033516,2.75%,N,Y,,,Y,OK,2.82%,9.72%
HashKey Cloud,sagavaloper14z9v2s2w2kkua70t20vpcvcgpxqekl7lufz3rs,2215461704,2713085416848,2710869955144,2.75%,N,Y,,,Y,OK,2.25%,9.50%
Sunsetting please undelegate,sagavaloper1c24csqxrfqktgpn94anp4xmtn7pz772gl903kj,7946122707,2184992894369,2177046771662,2.75%,N,N,,,N,"inactive, name_excluded (undelegate)",8.07%,
Luganodes,sagavaloper1qara34gyn54s9693rntr7gxj4a34te6gxkx97m,5277722141,2098602398259,2093324676118,2.75%,N,N,,,N,inactive,5.36%,
Enigma,sagavaloper1v9uqwx20c7f3nf4ckzzvzjr4kxuqw37293gkv9,4686932348,1688237537091,1683550604743,2.75%,N,N,,,N,inactive,4.76%,
polkachu.com,sagavaloper13dfsqypv3rjucvncpjy9p6jm47hc0e7827g0cq,2304080176,1411762078446,1409457998270,1.00%,N,Y,,,Y,force_included (PoA partner),2.34%,4.94%
Golden Ratio Staking,sagavaloper1nfha2308jhh2k7jfsa29gpa5t7kqv48wzuje4w,7365179410,1365051729057,1357686549647,2.74%,N,Y,,,Y,OK,7.48%,4.76%
Stakin by The Tie,sagavaloper13p45c6z865muxdycah0amqhjkfexh0ztejq9gw,4450616428,398576797877,394126181449,2.75%,N,Y,,,Y,OK,4.52%,1.38%
Simply Staking,sagavaloper1qpsluy5pgjt84jl4yf83e6kz02npgynwsqslj9,4480155918,363010373186,358530217268,2.75%,N,Y,,,Y,OK,4.55%,1.26%
