chain_id,validator_name,validator_address,target_weight
celestia,Keplr,celestiavaloper1uwmf03ke52vld2sa9khs0nslpgzwsm5xs5e4pn,915
celestia,Staking Facilities,celestiavaloper1wu24jxpn9j0580ehjz344d58cf3t7lzrrgqmnr,899
celestia,Validatus,celestiavaloper19v94c3z7ckarwsum76kaagma0wqsqhh5nl5zqg,884
celestia,Binary Builders,celestiavaloper15kpw453rgqrranltr8pcy9muryf3jjd7esw38j,802
celestia,IYKYK,celestiavaloper1amxp3ah9anq4pmpnsknls7sql3kras9hs8pu0g,668
celestia,Imperator.co,celestiavaloper1r5xt7twqmh39ky72f4txxjrhlt2z0qwwmdal8c,636
celestia,Upnode,celestiavaloper133t4gpv4vhpqgfn9gr8l4u423zrglg8rkqeupr,620
celestia,Stakecito Labs,celestiavaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q5qhs58,577
celestia,01node,celestiavaloper1murrqgqahxevedty0nzqrn5hj434fvffxufxcl,505
celestia,Stakely.io,celestiavaloper1yknsyf9ws4ugtv3r9g43kwqkne4zmrupcxhlth,492
celestia,Stakin by The Tie,celestiavaloper1dlsl4u42ycahzjfwc6td6upgsup9tt7cz8vqm4,453
celestia,Solva (CryptoCrew),celestiavaloper138jl42zlxue4wpvnugcdqhxjmyd2vpt6qhs5ls,408
celestia,Smart Stake,celestiavaloper1tzm96yvupy3egtpg6uw0s2f4c85qayw3afwetd,402
celestia,CroutonDigital,celestiavaloper1nxdm2vdl9xmmekauu3yfhq49t6vqc5cph2dj3s,402
celestia,ECAD Infra,celestiavaloper1m7xh6ms0cxhguzgfjnagx4nrzem8hf68qzdf7f,396
celestia,polkachu.com,celestiavaloper1jgqewpzn7dww5tlpnkypm72fm8tjznmw7ll7ls,324
celestia,BlackBlocks,celestiavaloper1knn88yl08ctsdrtxvfp39jywt7rph9ptv7532y,208
celestia,Allnodes,celestiavaloper1rcm7tth05klgkqpucdhm5hexnk49dfda3l3hak,172
celestia,ValiDAO,celestiavaloper1gfn5m2vjqk4kcdg2zwhzgpvu60jz0f9duhu594,133
celestia,Lavender.Five Nodes 🐝,celestiavaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zcvqd22,81
celestia,Chiter in Cosmos ⚛,celestiavaloper1ga4wavedkz3xrmhhtxgzxdrtysfpawnsksdx9y,23
cosmoshub-4,Keplr,cosmosvaloper1gf3dm2mvqhymts6ksrstlyuu2m8pw6dhfp9md2,801
cosmoshub-4,🐠stake.fish,cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,800
cosmoshub-4,Nansen | Stake to Stack Points,cosmosvaloper1jlr62guqwrwkdt4m3y00zh2rrsamhjf9num5xr,800
cosmoshub-4,Provalidator,cosmosvaloper1g48268mu5vfp4wk7dk89r0wdrakm9p5xk0q50k,609
cosmoshub-4,Imperator.co,cosmosvaloper1vvwtk805lxehwle9l4yudmq6mn0g32px9xtkhc,569
cosmoshub-4,Swiss Staking,cosmosvaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2ztve7q,516
cosmoshub-4,Meria,cosmosvaloper1wrx0x9m9ykdhw9sg04v7uljme53wuj03aa5d4f,475
cosmoshub-4,PRO Delegators,cosmosvaloper18sqvyf4ss84qree7gndph5chmm82fglsqfylwn,459
cosmoshub-4,Stakecito Labs,cosmosvaloper1k2d9ed9vgfuk2m58a2d80q9u6qljkh4vfaqjfq,417
cosmoshub-4,POSTHUMAN 🧬 StakeDrop,cosmosvaloper157v7tczs40axfgejp2m43kwuzqe0wsy0rv8puv,410
cosmoshub-4,Trust Nodes,cosmosvaloper1k6e7l0lz497l8njqjxpd3g4wlkdfwe93uqf03k,384
cosmoshub-4,The_Cybernetics,cosmosvaloper18m9wncg0w74vusm4xu0mk6ha2lpdrqq7c9cjq3,276
cosmoshub-4,Lavender.Five Nodes 🐝,cosmosvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zfd832j,250
cosmoshub-4,polkachu.com,cosmosvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pqeemx8,239
cosmoshub-4,NodeStake,cosmosvaloper19f0w9svr905fhefusyx4z8sf83j6et0g9l5yhl,226
cosmoshub-4,Ubik Capital,cosmosvaloper1q6d3d089hg59x6gcx92uumx70s5y5wadklue8s,223
cosmoshub-4,HighStakes.ch | Daily Airdrops,cosmosvaloper1yh089p0cre4nhpdqw35uzde5amg3qzexkeggdn,217
cosmoshub-4,Stakely.io,cosmosvaloper16yupepagywvlk7uhpfchtwa0stu5f8cyhh54f2,194
cosmoshub-4,ECO Stake 🌱 | REStake.app,cosmosvaloper1a37ze3yrr2y9nn98l6frhjskmufvd40cpyd0gq,191
cosmoshub-4,Interstellar 🍸,cosmosvaloper1nz3c4q40j8jyvg2hcljkwhe69872mnllf7v9xh,181
cosmoshub-4,Enigma,cosmosvaloper1gah0q9gqypnr7ufzg0dcda3k6v8qp4ceddn8fs,176
cosmoshub-4,CroutonDigital,cosmosvaloper1nlfrwx5t3mm3cuqqkvjv6jv24m7s2z5utzfe8s,174
cosmoshub-4,Quasar 🤖🧬🧠,cosmosvaloper14yncgrhz5t0j6p9yfm0eht65ltter2kqwkn6dc,172
cosmoshub-4,Golden Ratio Staking,cosmosvaloper1nuhls0wyf8slhmuasha5pz0u89jrf9nnugq8ak,171
cosmoshub-4,cosmosrescue,cosmosvaloper1hkqejlyrj9h8knms9hwvrnp9xhqvjqlseh06vq,167
cosmoshub-4,🛡️Bunkerstake.io,cosmosvaloper1fs0vl7jem78pmhladkludtkun3cgkrwkt8czur,160
cosmoshub-4,Silk Nodes,cosmosvaloper1aewyh4gtvayx6v7w592jdfylawk4rsu9tfvfgm,153
cosmoshub-4,Crosnest,cosmosvaloper1fsg635n5vgc7jazz9sx5725wnc3xqgr7awxaag,130
cosmoshub-4,TaxiStake,cosmosvaloper199mlc7fr6ll5t54w7tts7f4s0cvnqgc59nmuxf,128
cosmoshub-4,Chiter in Cosmos ⚛,cosmosvaloper140kq2fts8ed9m73a6dch7sgdap6hnp2p95f92k,123
cosmoshub-4,0base.vc,cosmosvaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q46fe2xk,121
cosmoshub-4,Solva (CryptoCrew),cosmosvaloper14qazscc80zgzx3m0m0aa30ths0p9hg8vdglqrc,88
dydx-mainnet-1,Keplr,dydxvaloper1jvct2ck9hptwyzrr0umfvwxed7n9nhhj0wfmdf,1068
dydx-mainnet-1,polkachu.com,dydxvaloper15xgxv2j45uc4er8z9tfz5m0f0e74ymv6xj9l9d,888
dydx-mainnet-1,Kiln,dydxvaloper1u9xeaqdjz3kky2ymdhdsn0ra5uy9tc3elj2jte,827
dydx-mainnet-1,TTT VN,dydxvaloper1r227t4qx8muzshsl862n4cgdswsesyd0pp42un,696
dydx-mainnet-1,Crosnest,dydxvaloper1y6ncfxx8x9sqec97pehjw0k32slw63850ltjrn,684
dydx-mainnet-1,PRO Delegators,dydxvaloper1rqhxemv6e5x43uny8qdyq78zneuk49pe5gkltz,640
dydx-mainnet-1,Stakecito Labs,dydxvaloper18jr2wx3qsu8g9gep6jypcxunx2jvcjquxk60wc,631
dydx-mainnet-1,Kingnodes 👑,dydxvaloper1j4ljutnh66r55a29jydgca7pfmhd40e3nlcfa4,627
dydx-mainnet-1,Solva (CryptoCrew) X Defi Dojo,dydxvaloper199fjq4rnfvz24cktl8cervx8h8e90ruk3yrrdn,600
dydx-mainnet-1,Nodes.Guru,dydxvaloper19ylcqyrgsejrghujsf6utrgw69nukw9q0xe0sj,484
dydx-mainnet-1,Ledger by Meria,dydxvaloper1gffkd68xcnfpzcsplf0fsuetxkysunud6a900w,475
dydx-mainnet-1,Imperator.co,dydxvaloper1mwhwf9rqh64ktr8t8xnz37nhg7vvy42ec56jwe,444
dydx-mainnet-1,AutoStake 🛡️ Slash Protected,dydxvaloper1gf9yvztyvnc3aqrkjd8hfnaf8pk56sl7mzfage,414
