Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Polychain dYdX,dydxvaloper1n98mgsv725meet0s88twgd3sjx70jvlm24xnac,0,29541512067684658897053183,2.95415E+25,20.00%,N,Y,99.70%,0/10,N,"commission>10%, gov<5/10 (fraction=0.000)",0.00%,
BinanceNode,dydxvaloper180pv8mahh2yk4kzxmnvcx7l9f3es4a5n6x7c8s,0,11133839698119332599826299,1.11338E+25,5.00%,Y,Y,87%,0/10,N,"CEX, uptime<95% (u=0.870), gov<5/10 (fraction=0.000)",0.00%,
Blockdaemon,dydxvaloper1ynz8v474ghzhl5ms86mzw0r5mcga3klh2tdw5l,0,10664002298378140825050316,1.0664E+25,5.00%,N,Y,98%,0/10,N,gov<5/10 (fraction=0.000),0.00%,
Kiln,dydxvaloper1u9xeaqdjz3kky2ymdhdsn0ra5uy9tc3elj2jte,60914670477094994533543,10571359515890702061156660,1.05104E+25,5.00%,N,Y,100%,7/10,Y,OK,5.26%,9.49%
Keplr,dydxvaloper1jvct2ck9hptwyzrr0umfvwxed7n9nhhj0wfmdf,60914670477094994533543,9937421325572693200756045,9.87651E+24,5.00%,N,Y,96%,8/10,Y,OK,5.26%,8.92%
Figment,dydxvaloper1d9e68e7glce5pehh8qk0gcx9l06tjeh0naz0r0,0,8444030368519047917109060,8.44403E+24,10.00%,N,Y,90.00%,0/10,N,"uptime<95% (u=0.900), gov<5/10 (fraction=0.000)",0.00%,
Cosmostation,dydxvaloper1vl5ty47uwpfv4mcutwv4zam09mvvvdgy09n0l5,60914670477094994533543,8012139519304831082153899,7.95122E+24,5.00%,N,Y,96.70%,10/10,Y,OK,5.26%,7.18%
Nansen | Stake to Stack Points,dydxvaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv2ttvgk,0,7934697868472007229245067,7.9347E+24,5.00%,N,Y,97%,5/10,Y,OK,0.00%,7.17%
Chorus One,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,60914670477094994533543,7835814261935655315625580,7.7749E+24,8.00%,N,Y,99%,0/10,N,gov<5/10 (fraction=0.000),5.26%,
Ex Machina,dydxvaloper1y29mkku4zqz8phrxc8zgu7jfnw504leqdwvzzg,0,7251769288817328285095747,7.25177E+24,25.00%,N,Y,90.80%,0/10,N,"commission>10%, uptime<95% (u=0.908), gov<5/10 (fraction=0.000)",0.00%,
Stakecito,dydxvaloper18jr2wx3qsu8g9gep6jypcxunx2jvcjquxk60wc,0,7218450925740357711533679,7.21845E+24,5.00%,N,Y,99%,10/10,Y,OK,0.00%,6.52%
polkachu.com,dydxvaloper15xgxv2j45uc4er8z9tfz5m0f0e74ymv6xj9l9d,60914670477094994533543,6629054309510216344624343,6.56814E+24,5.00%,N,Y,93.00%,10/10,N,uptime<95% (u=0.930),5.26%,
CryptoCrew X Defi Dojo,dydxvaloper199fjq4rnfvz24cktl8cervx8h8e90ruk3yrrdn,0,6151439772916480184077066,6.15144E+24,5.00%,N,Y,99.90%,10/10,Y,OK,0.00%,5.56%
Informal Systems,dydxvaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5se6j3y3,60914670477094994533543,6105303327165401320792393,6.04439E+24,5.00%,N,Y,98.10%,5/10,Y,OK,5.26%,5.46%
Crosnest,dydxvaloper1y6ncfxx8x9sqec97pehjw0k32slw63850ltjrn,60914670477094994533576,6054895962310846219733627,5.99398E+24,5.00%,N,Y,100%,6/10,Y,OK,5.26%,5.41%
OKX Earn,dydxvaloper19sk0mm69k5lgzwywzr9335pqj5mqcadnprclam,0,5598832351843016353331104,5.59883E+24,5.00%,Y,Y,93.30%,0/10,N,"CEX, uptime<95% (u=0.933), gov<5/10 (fraction=0.000)",0.00%,
Imperator.co,dydxvaloper1mwhwf9rqh64ktr8t8xnz37nhg7vvy42ec56jwe,60914670477094994533543,5243343330718351193647249,5.18243E+24,5.00%,N,Y,96%,10/10,Y,OK,5.26%,4.68%
Kingnodes 👑,dydxvaloper1j4ljutnh66r55a29jydgca7pfmhd40e3nlcfa4,60914670477094994533543,4953465241779001443669733,4.89255E+24,5.00%,N,Y,99.90%,4/10,N,gov<5/10 (fraction=0.400),5.26%,
Smart Stake 📈📊,dydxvaloper1t8hjjca8kecjtuhs2qy83maurj78fq2z5c44z5,0,4888408901979464132147259,4.88841E+24,5.00%,N,Y,99%,10/10,Y,OK,0.00%,4.41%
RHINO 🦏,dydxvaloper1cpz0jtj6rkezzs7z8k5gy6py05sxdkmyvggvvh,0,4851833551611805659066756,4.85183E+24,5.00%,N,Y,100.00%,7/10,Y,OK,0.00%,4.38%
TTT VN,dydxvaloper1r227t4qx8muzshsl862n4cgdswsesyd0pp42un,60914670477094994533543,4772006024953244133064874,4.71109E+24,5.00%,N,Y,100%,10/10,Y,OK,5.26%,4.25%
CLC,dydxvaloper1e0r3fljewfvj7729q6f07m8fy9v5e208s5ztkf,0,4629940815612019128405710,4.62994E+24,5.00%,N,Y,98%,10/10,Y,OK,0.00%,4.18%
Nodes.Guru,dydxvaloper19ylcqyrgsejrghujsf6utrgw69nukw9q0xe0sj,60914670477094994533543,4511987641009690174663532,4.45107E+24,5.00%,N,Y,95%,6/10,Y,OK,5.26%,4.02%
Ledger by Meria,dydxvaloper1gffkd68xcnfpzcsplf0fsuetxkysunud6a900w,0,4395161922826352439262274,4.39516E+24,5.00%,N,Y,93.30%,8/10,N,uptime<95% (u=0.933),0.00%,
