Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Haqq Association,haqqvaloper16lp0xpq87cre5z4jkfddq78r5l4vcd7el2jlmj,10282062788808444081218648,192191957589041284826459708,1.8191E+26,10.00%,N,Y,,,N,top_N_stake,9.51%,
Allnodes,haqqvaloper15eafuvcrh3c07z4g3pqgq68n3lmsyu5jd9swsy,10091599061973631647746874,190603269805306049680230880,1.80512E+26,5.00%,N,Y,,,N,top_N_stake,9.33%,
[Shutting down on Sept 15 - please redelegate],haqqvaloper16gg3wzq8h98zyn9kjp7aw3jwy6pnxslrdhl7zp,10240338877130983779368705,181301008991769491753789273,1.71061E+26,10.00%,N,N,,,N,inactive,9.47%,
Shariah Staking,haqqvaloper1hdeq7zk4qy6vn4vk96rwg8h4azt86jkhspj6k9,0,150338641096159953788111648,1.50339E+26,11.00%,N,Y,,,N,"commission>10%, top_N_stake",0.00%,
Republic,haqqvaloper1p6hvrej3r2tksazkvs0p3ecjkvlu27gkdlqjaj,0,141113896379522453051935962,1.41114E+26,20.00%,N,Y,,,N,"commission>10%, top_N_stake",0.00%,
CLOSING SOON - Islamic Staking,haqqvaloper1p8k6xk94u24vv9dmxu3vkgg43fs3v72grkpjhm,7586865991461274377840285,119976844330705532710995461,1.1239E+26,10.00%,N,Y,,,N,top_N_stake,7.02%,
Imperator.co,haqqvaloper1yxgsst9urp5s6qt7aqej09kywahn6djtduxd4p,4578007135224761791597101,103809968313317986461748191,9.9232E+25,5.00%,N,Y,,,N,top_N_stake,4.23%,
[NODERS],haqqvaloper1hgggrfgjeu4d5nveh03c6w37magsuqcy84p44t,6421926675801401957657069,101553672989780090169615994,9.51317E+25,10.00%,N,Y,,,N,top_N_stake,5.94%,
STAKEME,haqqvaloper1p02zk5ecdanap637e2wtt82cucjlxtkrhus623,5857623712952516389595623,99973391246452492328666780,9.41158E+25,10.00%,N,Y,,,N,top_N_stake,5.42%,
Forbole,haqqvaloper1yq0zsgqnyw5ya0vjxj3gd8yhdpw8uydekq5qrs,6676260405536110946079135,88748213620465877377624053,8.2072E+25,10.00%,N,Y,,,Y,OK,6.17%,8.00%
polkachu.com,haqqvaloper1th8c90trv8pfvsqf2n9p4whlcdew2yy2wcmgnp,4008027080194297897901221,82029568629948149062647686,7.80215E+25,5.00%,N,Y,,,Y,OK,3.71%,8.00%
POSITIVA Ultra,haqqvaloper1zsujldhz9azrfewl0gex5ey8f6kvf9dk6ufk47,2119754883528634754126734,73079238776186934077450719,7.09595E+25,10.00%,N,Y,,,Y,OK,1.96%,8.00%
Virtue Validators,haqqvaloper146de7dnwqfdvxd4nvkrxkd4k9fcalmxy22gt0c,0,70003728750473037571505323,7.00037E+25,20.00%,N,Y,,,N,commission>10%,0.00%,
Lavender.Five Nodes 🐝,haqqvaloper1dqwmtp0ewnzep83mtf0j73xrwza74ncavusujw,3212098756337016643955388,68309225613113404292656664,6.50971E+25,5.00%,N,Y,,,Y,OK,2.97%,8.00%
Neuler,haqqvaloper1a57vprf7lswm3aqy2g5gy509235wmtsfvf9q73,3184848713865440680910166,62253476167273385093456238,5.90686E+25,10.00%,N,Y,,,Y,OK,2.95%,8.00%
A41,haqqvaloper1tdzdn4zdnntdjkxtx8lrp9m8rpdu9yz356j8a5,3029296388090194558527021,59280856236143430947446409,5.62516E+25,10.00%,N,N,,,N,inactive,2.80%,
Nodes.Guru,haqqvaloper1esy5m56f7gsgckjgvwreq6yd95rp5k2uf58sqw,1956325965771891013621438,44005565695286193294465486,4.20492E+25,10.00%,N,Y,,,Y,OK,1.81%,5.99%
Forest Staking,haqqvaloper1ktu3f367c0j0yet6apuefy8xt5n7eswns7yuff,2882827409805473757158960,33545860831548723992516961,3.0663E+25,10.00%,N,Y,,,Y,OK,2.67%,4.37%
Synergy Nodes,haqqvaloper1y4pfpkwpy6myskp7pne256k6smh2rjtaf0wcfl,924230607160951413283682,26952152108572803361489182,2.60279E+25,10.00%,N,Y,,,Y,OK,0.85%,3.71%
Abyss Finance,haqqvaloper1uz39tak5j7cctq9ss3l4pvlnngmng338thy062,5201351856762061946256549,30209410843698046005360028,2.50081E+25,10.00%,N,Y,,,Y,OK,4.81%,3.56%
Brightlystake,haqqvaloper19as88jg6qywfu0uymqsvcmuvqck5nngjjr8q4e,923095188724635748156799,22941106075126879241197519,2.2018E+25,15.00%,N,Y,,,N,commission>10%,0.85%,
𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,haqqvaloper1ld747ks23dqheenk3pjth57claqqpfnxax6cea,924230607160951413283682,22925135386325782319268232,2.20009E+25,9.00%,N,Y,,,Y,OK,0.85%,3.13%
TakamulFi Validator,haqqvaloper1gcw6ru5akcmzvr3anqre8f3m8eml2rmrz8m6sl,910605585925163431761075,22502435075478301507585941,2.15918E+25,10.00%,N,Y,,,Y,OK,0.84%,3.08%
SerGo,haqqvaloper15uexkcv25gshhyunn97369y6379flhm7dsn3dc,899251401562006780492229,22446313829378995290271408,2.15471E+25,10.00%,N,Y,,,Y,OK,0.83%,3.07%
VC Staking,haqqvaloper1xp6jvrut2hmc0zdh4jpkusnquwk6z8t234wwfm,0,20037529011989424315659253,2.00375E+25,20.00%,N,Y,,,N,commission>10%,0.00%,
Halal Node,haqqvaloper1vk0v3xuusxh8tcu63nmzrll9xwfcnujev6pd4w,2462722588368677660211804,22483611008929405873371122,2.00209E+25,10.00%,N,Y,,,Y,OK,2.28%,2.85%
NodeStake,haqqvaloper1qt6yf3fvz250uddj04rxglfd40v8nruqm9kyy7,924230607160951413283682,20943683273842109753642168,2.00195E+25,20.00%,N,Y,,,N,commission>10%,0.85%,
F5 Nodes,haqqvaloper1x93c3lwves5xagxmx3rkku6scxt9yhwn243sts,934449373087792399425641,19139057425014522460398901,1.82046E+25,10.00%,N,Y,,,Y,OK,0.86%,2.59%
cryptobtcbuyer | Low fees 💚,haqqvaloper137867ch7xxe3a95a2rhs9xntzjp9q7yg0ylvgk,932178536215161069171870,18960071071140940586036337,1.80279E+25,5.00%,N,Y,,,Y,OK,0.86%,2.57%
StakingCabin,haqqvaloper1f6hy5d68hkx9wtp8er3mgdfwjfjr7tun5yu7us,0,16003138055045057296578187,1.60031E+25,10.00%,N,Y,,,Y,OK,0.00%,2.28%
Palamar,haqqvaloper1xp597fjhgu6dx3a525htulkn36fqqntjaqvhct,478506172196062529696663,13668507758340315471509471,1.319E+25,8.00%,N,Y,,,Y,OK,0.44%,1.88%
kioqq @ haqq.sh,haqqvaloper1a4qnqnk5ag0um6z3unkdth92v9c46x0dcpe2n0,537052920377309605016163,13548714763830110358784943,1.30117E+25,10.00%,N,Y,,,Y,OK,0.50%,1.85%
P-OPS Team,haqqvaloper1xwwut6nrqmqqyv4w5an4x0zwr8vt7vy7s723s6,0,12042402861096082499108849,1.20424E+25,10.00%,N,Y,,,Y,OK,0.00%,1.72%
