Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Allnodes,terravaloper120ppepaj2lh5vreadx42wnjjznh55vvktp78wk,11530134162,34869177875861,34857647741699,5.00%,N,Y,,,N,top_N_stake,10.00%,
DELIGHT,terravaloper1f6wuq93320s6w7vvnkc0576g9mtqfmz9a8wqxk,0,23564067913744,23564067913744,5.00%,N,Y,,,N,top_N_stake,0.00%,
Smart Stake 📈📊,terravaloper188e99yz54744uhr8xjfxmmplhnuw75xea55zfp,5387556930,15835503271036,15830115714106,5.00%,N,Y,,,N,top_N_stake,4.67%,
LUNAStaker,terravaloper19kg9ncvkuk08pxz0rnnywh65h5tvux9mlj7tc3,0,13214328524307,13214328524307,5.00%,N,Y,,,N,top_N_stake,0.00%,
KuCoin LUNA Node,terravaloper1gdvfugy7vt9vk8evntwe54knsqyncmpjzyhljt,0,11956649510770,11956649510770,5.00%,Y,Y,,,N,"CEX, top_N_stake",0.00%,
Stakely.io,terravaloper16vc0num5aaq4mqdh4vjhs02s3ypd0j8c7ujxpm,0,10278050376763,10278050376763,5.00%,N,Y,,,N,top_N_stake,0.00%,
polkachu.com,terravaloper1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v36nmjh,7131010369,9082952030772,9075821020403,5.00%,N,Y,,,N,top_N_stake,6.18%,
🦁 The Lion DAO,terravaloper1pet430t7ykswxuyhh56d4gk6rt7qgu9as6a5r0,0,8478255806683,8478255806683,7.50%,N,Y,,,N,top_N_stake,0.00%,
Cosmostation,terravaloper1564j3fq8p8np4yhh4lytnftz33japc03wn40kg,0,7773795951716,7773795951716,5.00%,N,Y,,,N,top_N_stake,0.00%,
01node,terravaloper1wdymftapg5pcvf2aqw4pd0yuuh5w9m6yqdnukv,4982656542,7676321652706,7671338996164,5.00%,N,Y,,,N,top_N_stake,4.32%,
Galactic Punks Validator,terravaloper15lsftv92eyssjwkh2393s0nhjc07kryqen2fqf,2522291240,7605472159234,7602949867994,10.00%,N,Y,,,N,top_N_stake,2.19%,
Orbital Command,terravaloper1lelhxdzwn9ddecv6sv0kcxj5tguurxnzcfs5wf,5873437396,7585199552742,7579326115346,10.00%,N,Y,,,N,top_N_stake,5.09%,
Terrascope,terravaloper1jt8pcx4sesgztjkjsvjjqtvyfgcehqx09u4exq,0,6884992666561,6884992666561,10.00%,N,Y,,,Y,OK,0.00%,5.93%
Synergy Nodes,terravaloper1tm0xkark2ufecmdhgaaw7gqsycyt4qag6py8x6,0,6292858684609,6292858684609,10.00%,N,Y,,,Y,OK,0.00%,5.42%
TheNFTProject,terravaloper1ltegerwren4tcaxpwxpkgs94ztnrcu0sk9cajz,0,6173541168489,6173541168489,100.00%,N,N,,,N,"inactive, commission>10%",0.00%,
ERIS ⚡️ Delegate for claimdrop,terravaloper1vm5azhvaxeanc7auxh02y8jmxrk8tj93f43e7j,0,5953167441995,5953167441995,10.00%,N,Y,,,Y,OK,0.00%,5.13%
Lavender.Five Nodes 🐝,terravaloper1vcd42qfvlvnjwaw7hvl6y32wrzqxvas653yus9,0,5914847346878,5914847346878,5.00%,N,Y,,,Y,OK,0.00%,5.09%
cosmosrescue,terravaloper1htey4gcdcass29vn4dwjcuq58mrvv8ra5pjz4k,0,5528369532836,5528369532836,10.00%,N,Y,,,Y,OK,0.00%,4.76%
Active Nodes,terravaloper1a9zv7n6pmkzlm3wj6c23qyejqlmyxsl5faanrv,0,5275129716747,5275129716747,9.00%,N,Y,,,Y,OK,0.00%,4.54%
