Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Omnistake.com,sagavaloper1am6qxsfxpzxdk7j8e8s37vs6pe8zr6m922nqte,9100181377,41555746918026,41546646736649,0.00%,N,Y,,,Y,OK,9.93%,9.06%
Cosmostation,sagavaloper1nv7mzp90rjxkgrr7ymcfqufgjeqtr7ptfeflz8,7026094229,39940100604680,39933074510451,1.50%,N,Y,,,Y,OK,7.67%,8.71%
NodeStake,sagavaloper19f0w9svr905fhefusyx4z8sf83j6et0gsn0qkm,0,39839475902886,39839475902886,0.00%,N,Y,,,Y,OK,0.00%,8.69%
Finoa Consensus Services,sagavaloper1c24csqxrfqktgpn94anp4xmtn7pz772gl903kj,3880230005,37033132035322,37029251805317,2.75%,N,Y,,,Y,OK,4.23%,8.07%
Golden Ratio Staking,sagavaloper1nfha2308jhh2k7jfsa29gpa5t7kqv48wzuje4w,5130636605,34291160633459,34286029996854,2.74%,N,Y,,,Y,OK,5.60%,7.48%
P2P.org 💙,sagavaloper15eryzkm5y7d2ldqf6he7g943g9hepxwa6puvjz,9080333644,31915924640379,31906844306735,2.75%,N,Y,,,Y,OK,9.91%,6.96%
Lavender.Five Nodes 🐝,sagavaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zupu4tk,2937463124,25706768980298,25703831517174,2.75%,N,Y,,,Y,OK,3.21%,5.60%
Luganodes,sagavaloper1qara34gyn54s9693rntr7gxj4a34te6gxkx97m,4297032205,24597522832152,24593225799947,2.75%,N,Y,,,Y,OK,4.69%,5.36%
Stakecito,sagavaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7qsdtg4m,4098554967,24171407440851,24167308885884,2.75%,N,Y,,,Y,OK,4.47%,5.27%
StakingCabin,sagavaloper1smw8w75qzprplv5g4afkrjkxz0sh4d84qqz4cw,3900077729,23750890704521,23746990626792,2.75%,N,Y,,,Y,OK,4.26%,5.18%
Enigma,sagavaloper1v9uqwx20c7f3nf4ckzzvzjr4kxuqw37293gkv9,2828300643,21812617946524,21809789645881,2.75%,N,Y,,,Y,OK,3.09%,4.76%
Simply Staking,sagavaloper1qpsluy5pgjt84jl4yf83e6kz02npgynwsqslj9,4465737857,20860957432333,20856491694476,2.75%,N,Y,,,Y,OK,4.87%,4.55%
Stakin,sagavaloper13p45c6z865muxdycah0amqhjkfexh0ztejq9gw,3830610695,20755469581964,20751638971269,2.75%,N,Y,,,Y,OK,4.18%,4.52%
UnityFarms (20% to charity),sagavaloper1pg3u9vl53jngwfly0370jne8fv533hd6emrfmd,0,15291601076769,15291601076769,2.75%,N,Y,,,Y,OK,0.00%,3.33%
