Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Nodes.Guru,umeevaloper1l4xvfq5uj7624m73nn8j4mgra7xq4cpf08q2xj,3182002701,1.49343E+15,1.49342E+15,6.00%,N,Y,,,Y,OK,0.01%,8.00%
polkachu.com,umeevaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4phlh7lv,0,438424135621609,438424135621609,5.00%,N,Y,,,Y,OK,0.00%,8.00%
UMEE BURN VALIDATOR,umeevaloper1fz037eya6ruvklcakq95uftmz6cxw72re9dgkf,0,286283388843304,286283388843304,5.00%,N,Y,,,Y,OK,0.00%,8.00%
MZONDER,umeevaloper1nlsvx2cl4wksknfx9dk7svn0rushylzj4g8l6z,1336441140203,212386737828054,211050296687851,9.00%,N,Y,,,Y,OK,4.16%,8.00%
Vitwit (Previously Witval),umeevaloper15jl3zsed69ucvcmtfjzgw88qj5xsjf8j6sj5nu,0,171677678454561,171677678454561,5.00%,N,N,,,N,inactive,0.00%,
Chainroot,umeevaloper1c0r2r5e3usyjjy55dk5ktql9nc5nljk3fw4lla,0,119810806002098,119810806002098,5.00%,N,Y,,,Y,OK,0.00%,5.29%
stakefish,umeevaloper1tsd7h4erlx9wajg353dwjc56lrvlcnmeghnmk0,3182002701,101639182456639,101636000453938,10.00%,N,N,,,N,inactive,0.01%,
🔥STAVR🔥 REStake ON✅,umeevaloper1dkjcas3j43u3v6l94jhhhnjxhlnwxt3m02p4c3,0,95610974652355,95610974652355,10.00%,N,Y,,,Y,OK,0.00%,4.22%
TTT VN,umeevaloper1ukk6qutqe24hmmwqkumluprms9fu7kannz5gl7,1205979028894,89543354010966,88337374982072,10.00%,N,Y,,,Y,OK,3.75%,3.90%
Alphabet,umeevaloper1qr97jr05ftqfnly7hegw4q03g3sctzwj34ev2g,1295075104911,79741399782107,78446324677196,10.00%,N,Y,,,Y,OK,4.03%,3.46%
ART3MIS.CLOUD,umeevaloper13elcqgu20pwrhexsz783jsvrdlf045edw3k8ar,1425537216216,79590207764400,78164670548184,5.00%,N,Y,,,Y,OK,4.43%,3.45%
StakeTown,umeevaloper1tvnv9x93s2vaap79j0jxt49hak8emld2ylx84l,0,73185209756368,73185209756368,9.00%,N,Y,,,Y,OK,0.00%,3.23%
Cosmostation,umeevaloper1hn8mjjvgzd07tfhcl8jvux5k72hheg3t2xkhq0,3182002701,71615215929872,71612033927171,5.00%,N,N,,,N,inactive,0.01%,
AutoStake 🛡️ Slash Protected,umeevaloper1py60fpud4w468zn7mthfa25xnzuawjum7w90q2,0,69110535098467,69110535098467,5.00%,N,Y,,,Y,OK,0.00%,3.05%
bitszn,umeevaloper1l3ltveezgyctwfflk660qv7gvxz2xp4lr2x064,1288711099481,68980936190716,67692225091235,10.00%,N,Y,,,Y,OK,4.01%,2.99%
HighStakes-Daily Airdrop,umeevaloper1rtdcc3ukvf80xzqk00nsj5v06edf39q0yxe2ve,0,64261027727303,64261027727303,5.00%,N,Y,,,Y,OK,0.00%,2.84%
0base.vc,umeevaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4d0h0la,0,63639165933214,63639165933214,5.00%,N,Y,,,Y,OK,0.00%,2.81%
Craving_for_Knowledge | reStake enabled,umeevaloper1ztqxj0v9hl8xr0kvqllk3lxtp669cd7jgsyjl9,1304621113056,60531153482993,59226532369937,10.00%,N,N,,,N,inactive,4.06%,
ShapeShift DAO,umeevaloper1gvt9l5tshr0fp8ksl2tuem584z69eyvt9m8yh6,1813741547422,59064750780247,57251009232825,5.00%,N,Y,,,Y,OK,5.64%,2.53%
CoinMetrika,umeevaloper1z6qsfe95y3luzj4wve93s9w6rjs7msk972zs4f,0,54268568777966,54268568777966,5.00%,N,Y,,,Y,OK,0.00%,2.40%
ELYSIUM,umeevaloper1tm5lt2y6sw62dptctecq9g9wjv7hwzkfpsnxjw,0,48833411926821,48833411926821,10.00%,N,Y,,,Y,OK,0.00%,2.16%
Encapsulate (fka KingSuper),umeevaloper1s0lankh33kprer2l22nank5rvsuh9ksavp35nh,0,47552656487004,47552656487004,10.00%,N,Y,,,Y,OK,0.00%,2.10%
L0vd2 | L0vd.com,umeevaloper15kywkhdljlkfvvzwkshnquz2x63nrxewfr4lga,1155066985460,48286534586834,47131467601374,10.00%,N,Y,,,Y,OK,3.59%,2.08%
DelegateToOthers.Thank you all,umeevaloper1dh7p3dvvjst60h62fymrqdcwx6tmatyyet2zan,1317349123913,47384040125907,46066691001994,10.00%,N,N,,,N,inactive,4.10%,
medium,umeevaloper1nhxqqa7rlmuw7yzpf0v4zzusk39fzuk2h0rptu,0,43372261527126,43372261527126,10.00%,N,Y,,,Y,OK,0.00%,1.92%
Pro-Nodes75,umeevaloper1vn5ysf7u9dssn2pm6h8agmqerxc5mq79p3e9ny,0,42206688596344,42206688596344,9.00%,N,Y,,,Y,OK,0.00%,1.86%
rxpwnz,umeevaloper1spynk5y2wz96dq4z73snpgqhr4l49n4zz660h4,1326895132056,43391533001375,42064637869319,10.00%,N,Y,,,Y,OK,4.13%,1.86%
ushakov,umeevaloper1agzky2ak6xs5vve3c2wzjtqdq7fwadcgjwufc0,1333259137485,42959968005458,41626708867973,5.00%,N,Y,,,Y,OK,4.15%,1.84%
AM Solutions 🌊,umeevaloper1hdeemspqtxaw5pk3ddmtzju3xtk0euj5xddr0c,0,40380667407068,40380667407068,9.00%,N,Y,,,Y,OK,0.00%,1.78%
CosmoWiz,umeevaloper1lpyjdjtscyurhqze5xvkvhdj94wltcs6g7wq84,0,40346808962793,40346808962793,10.00%,N,Y,,,Y,OK,0.00%,1.78%
Egozit,umeevaloper14jkqgv2qhmjafvg5pynt49uq2ejjelmkj63rz3,1158248988176,38581436843242,37423187855066,10.00%,N,Y,,,Y,OK,3.60%,1.65%
Oneplus,umeevaloper1pn3sx7778dwvdtrp8djstjwpsjq6cr7d7x4lz6,1116882952878,38341978251518,37225095298640,10.00%,N,Y,,,Y,OK,3.47%,1.64%
KalpaTech,umeevaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetgucttvwsj,1444629232505,38602022957456,37157393724951,5.00%,N,Y,,,Y,OK,4.49%,1.64%
DSRV - please undelegate from DSRV,umeevaloper1zttnm2cl60m5ffsrfeqtzkmtvepl4hwn238aym,1142338974599,37172068723254,36029729748655,10.00%,N,N,,,N,inactive,3.55%,
Qubelabs,umeevaloper1qzulky8hacycvxrz2jcts28zg7nypce88590zp,1129610963740,36894719751858,35765108788118,10.00%,N,Y,,,Y,OK,3.51%,1.58%
Please redelegate - Sunsetted,umeevaloper1mkv4myppz2w0d3nr2dh9fv5kcwaaqnzfvnm6qf,0,34907881927357,34907881927357,10.00%,N,N,,,N,inactive,0.00%,
sunsetted,umeevaloper1gxxcsh6ghdflfeam3mmmefgzvlejr40ckjk58q,0,34605858469242,34605858469242,10.00%,N,N,,,N,inactive,0.00%,
StakeAngle,umeevaloper1lewxvf5qcyfqtl2m49k285qtdsa3vgstkj00n8,0,32799897430390,32799897430390,10.00%,N,Y,,,Y,OK,0.00%,1.45%
Huginn,umeevaloper1vr59ktf5yehvxz06qe889sl4eg0dtak8l2yge3,1435083224365,32992956183609,31557872959244,7.00%,N,Y,,,Y,OK,4.46%,1.39%
Sunsetted Validator | Please undelegate,umeevaloper10nsytn9zmtfnhk37hqfe2h9v599ld3h5zs9fqj,3182002701,31009055663036,31005873660335,20.00%,N,N,,,N,"inactive, commission>10%",0.01%,
"Sunsetted Validator, Please undelegate",umeevaloper1wqna2t8mtzgvazxtmsfvqhwqjpkutdu0gqy2am,0,28985136422438,28985136422438,5.00%,N,N,,,N,inactive,0.00%,
shut down,umeevaloper1sy9pazsns74ezsxhqr8y20smx5pxncdalnd6va,0,26618440926586,26618440926586,10.00%,N,N,,,N,inactive,0.00%,
CosmoBook - will be shutdown 15.04.2025 please redelegate,umeevaloper1y5w9vx6qe0ta55z44l505lvmcl9qqjx48733ck,0,25595413766850,25595413766850,10.00%,N,N,,,N,inactive,0.00%,
"Shutting down, please redelegate",umeevaloper148lf9ndu40fmy44ku74v65lqp8mwqej9nz0s54,1600547365528,26440469554973,24839922189445,5.00%,N,N,,,N,inactive,4.98%,
node101,umeevaloper12h8fpmg5qs570rmlem27km5xu4l2gv0lapuels,0,24367017615832,24367017615832,5.00%,N,Y,,,Y,OK,0.00%,1.08%
SUNREN 🐳 | BROXA ⚛️😸,umeevaloper1t6x3s6std4uw5h0epmeexuldj3jvdgmpnttf4t,0,23158448650773,23158448650773,5.00%,N,Y,,,N,over_32_cap,0.00%,
Cypher Core,umeevaloper1pjmngrwcsatsuyy8m3qrunaun67sr9x74jd0em,0,23064185524699,23064185524699,10.00%,N,Y,,,N,over_32_cap,0.00%,
TrustedPoint,umeevaloper1afdwxpgnqwz002ynkqtu6vxnyqpqymrr4r8apr,0,21524523166773,21524523166773,10.00%,N,N,,,N,inactive,0.00%,
Stakers,umeevaloper1twsp4qtg29hke50c44r8xdpkfqnazke38kr5x8,0,20571489977688,20571489977688,10.00%,N,Y,,,N,over_32_cap,0.00%,
<decommissioned>,umeevaloper16qflfas8a9qjuskg9706n0926v8hac6acsf8de,0,19989456204897,19989456204897,20.00%,N,N,,,N,"inactive, commission>10%",0.00%,
crypto20m,umeevaloper1t3egsnypejx9xv5jcl4jq6hvrz5zwx635d9vn6,1295075104911,20973124779043,19678049674132,9.00%,N,N,,,N,inactive,4.03%,
BlueStake 🚀,umeevaloper14vmuhgm04ffvzts9jxm2wy5d538g96ru9fsg5v,0,19056567122279,19056567122279,10.00%,N,Y,,,N,over_32_cap,0.00%,
MMS,umeevaloper1sm5a00zlr5wkhr2259shqk9lk3w307jazmf0e5,0,18130584924601,18130584924601,9.90%,N,N,,,N,inactive,0.00%,
AnyValid,umeevaloper1lxtykp83gr4ejt9lkegrrrac7xxpfr8axcsrjc,0,17702243389232,17702243389232,10.00%,N,N,,,N,inactive,0.00%,
Redelegate - Shutting down,umeevaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7qj87fd5,1307803115768,18932050705132,17624247589364,5.00%,N,N,,,N,inactive,4.07%,
Provalidator,umeevaloper10ckmqvzeycglg0hrcnepa0la5kw2q9ys6gquku,0,17599793210852,17599793210852,10.00%,N,N,,,N,inactive,0.00%,
w3coins,umeevaloper1cv2qlz78j5d8fs75lxnystu2lsprvt64yrgfap,0,17433527791443,17433527791443,5.00%,N,N,,,N,inactive,0.00%,
Staking_Rewards | reStake,umeevaloper1few3jle0yjl32ap89j35d5y8xzt644zghe9ucy,0,17036939807158,17036939807158,10.00%,N,N,,,N,inactive,0.00%,
Cosmos Cats 🐈,umeevaloper1xa3rtquya70le5tuq7f4gnvx0v8shmdm67wcs6,0,16900072103129,16900072103129,10.00%,N,Y,,,N,over_32_cap,0.00%,
CroutonDigital,umeevaloper1wj6p0rgdpy8kkj3xa7e8t0g9tn9nyw4hltw2z2,0,16760842587556,16760842587556,10.00%,N,Y,,,N,over_32_cap,0.00%,
iptrade,umeevaloper1zu47e76gf46uqgv9mcvkacul9jl9l2alq45qwe,0,14578036348522,14578036348522,10.00%,N,N,,,N,inactive,0.00%,
Let's Node! & 1package,umeevaloper1uw0uy65pdrpge0xjp492qfqywqpvl5q44ggnsv,0,12828073669442,12828073669442,5.00%,N,Y,,,N,over_32_cap,0.00%,
Enigma,umeevaloper1fnd772gjha0kxldh5npcr0v7vcmc94ca5r9h4m,0,12424871789083,12424871789083,10.00%,N,N,,,N,inactive,0.00%,
Palamar,umeevaloper1gzq6j20gmgu2vvcyxelh64dy6c6w8ykyn999rr,0,12172877176251,12172877176251,8.00%,N,N,,,N,inactive,0.00%,
"Please redelegate, we decommissioned our node",umeevaloper14w3wm9wxvrfpr28keaswlwxvpjkyxnnsjcq4c6,0,8070925056374,8070925056374,9.90%,N,N,,,N,inactive,0.00%,
Figment,umeevaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpf6457ux,0,6272145100374,6272145100374,7.50%,N,N,,,N,inactive,0.00%,
Validators United,umeevaloper108uz380f2cq0smyescunqwz9lrk5apnzamv3r2,0,5641517734224,5641517734224,10.00%,N,N,,,N,inactive,0.00%,
Node H,umeevaloper1qvkch04yz7jwpp33m0r48rr0s2caq9v3la5lej,0,5486685922580,5486685922580,5.00%,N,Y,,,N,over_32_cap,0.00%,
☉ Mercury,umeevaloper1xgqr7pn80g6w398wzdmye3lu6wsgk32swylvd4,0,5071856829806,5071856829806,10.00%,N,N,,,N,inactive,0.00%,
Please_Undelegate,umeevaloper1qa5gkv8a4rzpncgkguv2szh5s83kh69l082zz3,0,4713008187181,4713008187181,5.00%,N,N,,,N,inactive,0.00%,
REDELEGATE_PLEASE,umeevaloper1g7ddsx97qj4tfvm7u22xe5h6y3efdup6spsxnw,2046027745994,6533632824732,4487605078738,5.00%,N,N,,,N,inactive,6.36%,
Please undelegate,umeevaloper14yth8x4a77q5rytxhv67e43p2hdzyguuwruls8,1123246958312,5219520071340,4096273113028,5.00%,N,N,,,N,inactive,3.49%,
interchain.FM🥩,umeevaloper1gac6asqc7fv9ec6kyuuf0p355fuy9rn4r6twd5,0,2905809061538,2905809061538,10.00%,N,N,,,N,inactive,0.00%,
GiantWhale,umeevaloper1tujh6zssrmz88f976xpe3qwn2em9lyljlfywut,0,2501058848363,2501058848363,5.00%,N,N,,,N,inactive,0.00%,
Stake Village,umeevaloper1utd592msy5cd434gqv8wh6mcmda6wlenq2j2r4,0,2493513643165,2493513643165,5.00%,N,Y,,,N,over_32_cap,0.00%,
DECOMMISSIONED,umeevaloper1kvh5n7skften3fv2ry6yc5jkpaz0rwzrkyzeft,0,2491869394706,2491869394706,5.00%,N,N,,,N,inactive,0.00%,
CALISTA,umeevaloper19za8xxyjqykx5hu34znsq0dj7qcdt3y6r8mg54,1396899191782,3870264273176,2473365081394,10.00%,N,N,,,N,inactive,4.34%,
OtterSync,umeevaloper18h0g960uszf898fyfqmdz8tfkv32ke76nfag02,0,2429717078056,2429717078056,5.00%,N,Y,,,N,over_32_cap,0.00%,
Binary Holdings,umeevaloper1q5z5vdxtvqmf4eq37pm2xnytc69st382cadf0x,1151884982745,3091580182519,1939695199774,5.00%,N,N,,,N,inactive,3.58%,
DISCONTINUED - Swiss Staking,umeevaloper19yy0u0ttam2p9k874vsh2u4tt7e6cmq8h2w9nv,0,1844178898425,1844178898425,5.00%,N,N,,,N,inactive,0.00%,
Node,umeevaloper1q9nq058y9kvezmshkdp4ss3rsfkjwph3p77fx4,0,1467271367552,1467271367552,5.00%,N,N,,,N,inactive,0.00%,
ITpro🚀,umeevaloper1as74ldxuqysp2w53hwxejgk25eav2gummryv6y,0,1316868611096,1316868611096,5.00%,N,Y,,,N,bottom_5%_stake,0.00%,
QuantNode,umeevaloper18jnrd4knfwxvqeyj3ppwp5pw8527egy4u2xun4,0,915211098305,915211098305,8.00%,N,N,,,N,inactive,0.00%,
AlxVoy ⚡ ANODE.TEAM,umeevaloper1pagmrw4wwxzu3e7h9utz396s6e9z4sv3euaq63,0,840584113938,840584113938,5.00%,N,Y,,,N,bottom_5%_stake,0.00%,
StableLab,umeevaloper1hqpypahsl5gqwtjyda5zjv5cguu4s69d4jft4c,0,679789991408,679789991408,50.00%,N,N,,,N,"inactive, commission>10%",0.00%,
